"","x","y","ID","SA"
"0",517,401,"11_L1","L1"
"1",327,402,"11_L1","L1"
"2",737,398,"",""
"3",441,413,"11_L1","L1"
"4",560,404,"11_L1","L1"
"5",3786,437,"10_LM","LM"
"6",3665,442,"10_LM","LM"
"7",1989,438,"11_L1","L1"
"8",3722,436,"10_LM","LM"
"9",1899,443,"11_L1","L1"
"10",3573,446,"10_LM","LM"
"11",3290,453,"11_L1","L1"
"12",1276,446,"11_L1","L1"
"13",3460,449,"10_LM","LM"
"14",949,446,"11_L1","L1"
"15",1526,452,"11_L1","L1"
"16",1127,451,"11_L1","L1"
"17",3126,472,"11_L1","L1"
"18",1625,460,"11_L1","L1"
"19",1857,458,"11_L1","L1"
"20",2319,469,"11_L1","L1"
"21",2250,478,"11_L1","L1"
"22",1201,474,"11_L1","L1"
"23",3048,485,"11_L1","L1"
"24",2601,506,"11_L1","L1"
"25",2963,507,"11_L1","L1"
"26",1327,522,"11_L1","L1"
"27",1362,526,"11_L1","L1"
"28",2864,550,"11_L1","L1"
"29",2294,541,"11_L1","L1"
"30",2812,551,"11_L1","L1"
"31",1056,548,"11_L1","L1"
"32",1687,554,"11_L1","L1"
"33",1464,556,"11_L1","L1"
"34",1501,566,"11_L1","L1"
"35",3505,566,"11_L1","L1"
"36",3099,589,"11_L1","L1"
"37",1157,590,"11_L1","L1"
"38",1228,595,"11_L1","L1"
"39",3667,599,"11_L1","L1"
"40",678,602,"11_L1","L1"
"41",2737,616,"11_L1","L1"
"42",653,621,"11_L1","L1"
"43",4156,634,"11_L1","L1"
"44",1597,627,"11_L1","L1"
"45",2908,642,"11_L1","L1"
"46",3012,648,"11_L1","L1"
"47",1525,657,"11_L1","L1"
"48",2466,677,"11_L1","L1"
"49",1086,677,"11_L1","L1"
"50",3938,684,"11_L1","L1"
"51",1395,701,"11_L1","L1"
"52",4696,706,"10_LM","LM"
"53",828,704,"11_L1","L1"
"54",4521,710,"10_LM","LM"
"55",3751,716,"11_L1","L1"
"56",646,718,"11_L1","L1"
"57",4503,741,"11_L1","L1"
"58",5087,766,"10_LM","LM"
"59",1837,755,"11_L1","L1"
"60",2838,787,"11_L1","L1"
"61",5171,796,"10_LM","LM"
"62",667,792,"12_L2/3","L2/3"
"63",3983,792,"11_L1","L1"
"64",3880,801,"11_L1","L1"
"65",1211,817,"11_L1","L1"
"66",3229,831,"11_L1","L1"
"67",5321,827,"10_LM","LM"
"68",2952,824,"11_L1","L1"
"69",4681,830,"11_L1","L1"
"70",1225,823,"11_L1","L1"
"71",5358,839,"10_LM","LM"
"72",3073,829,"11_L1","L1"
"73",3580,821,"11_L1","L1"
"74",4526,832,"11_L1","L1"
"75",478,831,"12_L2/3","L2/3"
"76",661,840,"12_L2/3","L2/3"
"77",510,838,"12_L2/3","L2/3"
"78",1959,844,"11_L1","L1"
"79",1120,851,"12_L2/3","L2/3"
"80",1391,856,"11_L1","L1"
"81",3726,860,"11_L1","L1"
"82",816,858,"12_L2/3","L2/3"
"83",1464,865,"11_L1","L1"
"84",396,860,"12_L2/3","L2/3"
"85",521,856,"12_L2/3","L2/3"
"86",3455,874,"11_L1","L1"
"87",3554,881,"11_L1","L1"
"88",1224,880,"12_L2/3","L2/3"
"89",894,881,"12_L2/3","L2/3"
"90",4811,887,"11_L1","L1"
"91",2732,892,"11_L1","L1"
"92",909,892,"12_L2/3","L2/3"
"93",1473,900,"12_L2/3","L2/3"
"94",3787,889,"12_L2/3","L2/3"
"95",4146,893,"11_L1","L1"
"96",4310,906,"11_L1","L1"
"97",2340,893,"11_L1","L1"
"98",1130,900,"12_L2/3","L2/3"
"99",1090,907,"12_L2/3","L2/3"
"100",3919,896,"12_L2/3","L2/3"
"101",578,903,"12_L2/3","L2/3"
"102",4469,913,"11_L1","L1"
"103",1396,912,"12_L2/3","L2/3"
"104",896,905,"12_L2/3","L2/3"
"105",1620,904,"12_L2/3","L2/3"
"106",1651,914,"12_L2/3","L2/3"
"107",3929,909,"12_L2/3","L2/3"
"108",991,917,"12_L2/3","L2/3"
"109",1914,909,"12_L2/3","L2/3"
"110",2949,916,"12_L2/3","L2/3"
"111",3608,917,"12_L2/3","L2/3"
"112",3911,913,"12_L2/3","L2/3"
"113",3552,926,"12_L2/3","L2/3"
"114",971,915,"12_L2/3","L2/3"
"115",1206,924,"12_L2/3","L2/3"
"116",3333,936,"12_L2/3","L2/3"
"117",3088,921,"12_L2/3","L2/3"
"118",1477,926,"12_L2/3","L2/3"
"119",1626,930,"12_L2/3","L2/3"
"120",3881,931,"12_L2/3","L2/3"
"121",4280,938,"11_L1","L1"
"122",2429,945,"12_L2/3","L2/3"
"123",2314,934,"12_L2/3","L2/3"
"124",3896,946,"12_L2/3","L2/3"
"125",4184,947,"12_L2/3","L2/3"
"126",1363,941,"12_L2/3","L2/3"
"127",2360,951,"12_L2/3","L2/3"
"128",4473,953,"11_L1","L1"
"129",1681,954,"12_L2/3","L2/3"
"130",2314,949,"12_L2/3","L2/3"
"131",3202,956,"12_L2/3","L2/3"
"132",1769,958,"12_L2/3","L2/3"
"133",3173,952,"12_L2/3","L2/3"
"134",1545,955,"12_L2/3","L2/3"
"135",2666,952,"12_L2/3","L2/3"
"136",4502,961,"11_L1","L1"
"137",1964,951,"12_L2/3","L2/3"
"138",2302,972,"12_L2/3","L2/3"
"139",5692,964,"10_LM","LM"
"140",1281,958,"12_L2/3","L2/3"
"141",3145,960,"12_L2/3","L2/3"
"142",1209,963,"12_L2/3","L2/3"
"143",4353,971,"11_L1","L1"
"144",1132,983,"12_L2/3","L2/3"
"145",1564,983,"12_L2/3","L2/3"
"146",1922,986,"12_L2/3","L2/3"
"147",1986,974,"12_L2/3","L2/3"
"148",2589,984,"12_L2/3","L2/3"
"149",557,981,"12_L2/3","L2/3"
"150",701,986,"12_L2/3","L2/3"
"151",3796,987,"12_L2/3","L2/3"
"152",1382,989,"12_L2/3","L2/3"
"153",3152,984,"12_L2/3","L2/3"
"154",2019,986,"12_L2/3","L2/3"
"155",3421,981,"12_L2/3","L2/3"
"156",968,994,"12_L2/3","L2/3"
"157",3544,984,"12_L2/3","L2/3"
"158",3616,996,"12_L2/3","L2/3"
"159",4458,995,"11_L1","L1"
"160",2006,986,"12_L2/3","L2/3"
"161",2488,987,"12_L2/3","L2/3"
"162",2466,989,"12_L2/3","L2/3"
"163",3426,997,"12_L2/3","L2/3"
