"","x","y","ID","SA"
"0",11768.2998046875,12572,"6_L5","L5"
"1",11763.400390625,13974.400390625,"6_L5","L5"
"2",11818.599609375,12209.599609375,"6_L5","L5"
"3",11875.5,11813.099609375,"7_L6a","L6a"
"4",11919.400390625,13387.7001953125,"6_L5","L5"
"5",11942.099609375,12939.2001953125,"6_L5","L5"
"6",11919.400390625,11554.7001953125,"7_L6a","L6a"
"7",11935.599609375,12624,"6_L5","L5"
"8",11960,12192.5,"6_L5","L5"
"9",11964.900390625,13121.2001953125,"6_L5","L5"
"10",12031.5,11871.599609375,"7_L6a","L6a"
"11",11986,12425.7001953125,"6_L5","L5"
"12",11986,13989,"6_L5","L5"
"13",12008.7998046875,13053,"6_L5","L5"
"14",12033.099609375,11439.400390625,"7_L6a","L6a"
"15",12088.400390625,11801.7001953125,"7_L6a","L6a"
"16",12078.599609375,13407.2001953125,"6_L5","L5"
"17",12143.599609375,13642.900390625,"6_L5","L5"
"18",12116,14062.099609375,"6_L5","L5"
"19",12085.099609375,13236.599609375,"6_L5","L5"
"20",12106.2998046875,12165.7001953125,"7_L6a","L6a"
"21",12138.7998046875,11702.599609375,"7_L6a","L6a"
"22",12150.099609375,11374.400390625,"7_L6a","L6a"
"23",12192.400390625,13915,"6_L5","L5"
"24",12185.900390625,12716.599609375,"6_L5","L5"
"25",12195.599609375,11475.099609375,"7_L6a","L6a"
"26",12205.400390625,12542.7001953125,"6_L5","L5"
"27",12198.900390625,13486.900390625,"6_L5","L5"
"28",12205.400390625,14159.599609375,"6_L5","L5"
"29",12231.400390625,13064.400390625,"6_L5","L5"
"30",12260.599609375,12112.099609375,"7_L6a","L6a"
"31",12233,13352,"6_L5","L5"
"32",12236.2998046875,11598.599609375,"7_L6a","L6a"
"33",12304.5,11777.400390625,"7_L6a","L6a"
"34",12327.2998046875,13356.900390625,"6_L5","L5"
"35",12380.900390625,13534,"6_L5","L5"
"36",12340.2998046875,11891.099609375,"7_L6a","L6a"
"37",12385.7998046875,14130.400390625,"6_L5","L5"
"38",12413.400390625,12708.5,"6_L5","L5"
"39",12426.400390625,13044.900390625,"6_L5","L5"
"40",12437.7998046875,12492.400390625,"7_L6a","L6a"
"41",12484.900390625,13348.7001953125,"6_L5","L5"
"42",12528.7998046875,12360.7001953125,"7_L6a","L6a"
"43",12522.2998046875,11988.599609375,"7_L6a","L6a"
"44",12536.900390625,12552.5,"7_L6a","L6a"
"45",12566.099609375,13200.900390625,"6_L5","L5"
"46",12592.099609375,13031.900390625,"6_L5","L5"
"47",12593.7998046875,12435.5,"7_L6a","L6a"
"48",12564.5,14081.599609375,"6_L5","L5"
"49",12569.400390625,12869.400390625,"6_L5","L5"
"50",12608.400390625,11324,"7_L6a","L6a"
"51",12561.2998046875,13875.2001953125,"6_L5","L5"
"52",12676.599609375,11403.599609375,"7_L6a","L6a"
"53",12675,12367.2001953125,"7_L6a","L6a"
"54",12692.900390625,12859.599609375,"7_L6a","L6a"
"55",12769.2998046875,12680.900390625,"7_L6a","L6a"
"56",12757.900390625,13774.5,"6_L5","L5"
"57",12725.400390625,12638.599609375,"7_L6a","L6a"
"58",12767.599609375,12552.5,"7_L6a","L6a"
"59",12761.099609375,12000,"7_L6a","L6a"
"60",12871.599609375,12139.7001953125,"7_L6a","L6a"
"61",12884.599609375,14049.099609375,"6_L5","L5"
"62",12897.599609375,13023.7001953125,"7_L6a","L6a"
"63",12944.7998046875,11683.099609375,"7_L6a","L6a"
"64",12943.099609375,12390,"7_L6a","L6a"
"65",13043.900390625,13912.599609375,"6_L5","L5"
"66",13065,12274.599609375,"7_L6a","L6a"
"67",13069.900390625,14232.7001953125,"6_L5","L5"
"68",13131.599609375,12419.2001953125,"7_L6a","L6a"
"69",13178.7998046875,13969.5,"6_L5","L5"
"70",13131.599609375,11818,"7_L6a","L6a"
"71",13188.5,13300,"7_L6a","L6a"
"72",13190.099609375,12835.2001953125,"7_L6a","L6a"
"73",13214.5,13189.5,"7_L6a","L6a"
"74",13271.400390625,11845.599609375,"7_L6a","L6a"
"75",13279.5,13888.2001953125,"6_L5","L5"
"76",13342.900390625,13829.7001953125,"6_L5","L5"
"77",13339.599609375,12403,"7_L6a","L6a"
"78",13411.099609375,13636.400390625,"6_L5","L5"
"79",13406.2998046875,13360.099609375,"7_L6a","L6a"
"80",13479.400390625,13144,"7_L6a","L6a"
"81",13510.2998046875,13644.5,"7_L6a","L6a"
"82",13495.599609375,11473.5,"7_L6a","L6a"
"83",13617.5,12425.7001953125,"7_L6a","L6a"
"84",13632.099609375,11827.7001953125,"7_L6a","L6a"
"85",13630.5,13766.400390625,"7_L6a","L6a"
"86",13620.7998046875,12856.400390625,"7_L6a","L6a"
"87",13643.5,12928.7001953125,"7_L6a","L6a"
"88",13633.7998046875,13096.900390625,"7_L6a","L6a"
"89",13654.900390625,11606.7001953125,"7_L6a","L6a"
"90",13685.7998046875,13194.400390625,"7_L6a","L6a"
"91",13703.599609375,13473.900390625,"7_L6a","L6a"
"92",13732.900390625,12635.400390625,"7_L6a","L6a"
"93",13729.599609375,14140.099609375,"6_L5","L5"
"94",13789.7998046875,11686.400390625,"7_L6a","L6a"
"95",13742.599609375,11793.599609375,"7_L6a","L6a"
"96",13788.099609375,13251.2001953125,"7_L6a","L6a"
"97",13806,12992.900390625,"7_L6a","L6a"
"98",13833.599609375,13584.400390625,"7_L6a","L6a"
"99",13872.599609375,11902.5,"7_L6a","L6a"
"100",13872.599609375,12523.2001953125,"7_L6a","L6a"
"101",13884,13987.400390625,"7_L6a","L6a"
"102",13926.2998046875,13430,"7_L6a","L6a"
"103",13939.2998046875,11611.599609375,"8_L6b","L6b"
"104",13939.2998046875,14203.5,"6_L5","L5"
"105",13936,12274.599609375,"7_L6a","L6a"
"106",13988,13202.5,"7_L6a","L6a"
"107",14064.400390625,11564.5,"8_L6b","L6b"
"108",14044.900390625,13605.5,"7_L6a","L6a"
"109",14048.099609375,12264.900390625,"7_L6a","L6a"
"110",14080.599609375,12104,"7_L6a","L6a"
"111",14072.5,13277.2001953125,"7_L6a","L6a"
"112",14082.2998046875,12422.5,"7_L6a","L6a"
"113",14075.7998046875,13972.7001953125,"7_L6a","L6a"
"114",14095.2998046875,13703,"7_L6a","L6a"
"115",14075.7998046875,14158,"6_L5","L5"
"116",14139.099609375,13795.599609375,"7_L6a","L6a"
"117",14226.900390625,12773.5,"7_L6a","L6a"
"118",14332.5,13005.900390625,"7_L6a","L6a"
"119",14347.099609375,12537.900390625,"7_L6a","L6a"
"120",14356.900390625,12255.099609375,"7_L6a","L6a"
"121",14395.900390625,13543.7001953125,"7_L6a","L6a"
"122",14400.7998046875,14182.400390625,"7_L6a","L6a"
"123",14405.599609375,11549.900390625,"8_L6b","L6b"
"124",14387.7998046875,13670.5,"7_L6a","L6a"
"125",14436.5,11819.599609375,"8_L6b","L6b"
"126",14550.2998046875,14223,"7_L6a","L6a"
"127",14612,11415,"8_L6b","L6b"
"128",14628.2998046875,13209,"7_L6a","L6a"
"129",14577.900390625,12536.2001953125,"7_L6a","L6a"
"130",14610.400390625,13404,"7_L6a","L6a"
"131",14677,13457.599609375,"7_L6a","L6a"
"132",14665.599609375,12175.5,"8_L6b","L6b"
"133",14681.900390625,11644.099609375,"8_L6b","L6b"
"134",14712.7998046875,12615.900390625,"7_L6a","L6a"
"135",14707.900390625,13872,"7_L6a","L6a"
"136",11669.400390625,9703.2001953125,"7_L6a","L6a"
"137",11682.400390625,9807.2001953125,"7_L6a","L6a"
"138",11713.2998046875,10525.400390625,"7_L6a","L6a"
"139",11714.900390625,10114.2998046875,"7_L6a","L6a"
"140",11812.400390625,11398.099609375,"7_L6a","L6a"
"141",11799.400390625,10351.599609375,"7_L6a","L6a"
"142",11822.2001953125,9469.2001953125,"8_L6b","L6b"
"143",11849.7998046875,10804.900390625,"7_L6a","L6a"
"144",11859.599609375,9581.3203125,"8_L6b","L6b"
"145",11854.7001953125,10902.400390625,"7_L6a","L6a"
"146",11848.2001953125,10501.099609375,"7_L6a","L6a"
"147",11851.400390625,9036.9501953125,"8_L6b","L6b"
"148",11841.7001953125,10241.099609375,"7_L6a","L6a"
"149",11879.099609375,10011.900390625,"7_L6a","L6a"
"150",11970.099609375,8703.8203125,"8_L6b","L6b"
"151",11973.2998046875,8866.3203125,"8_L6b","L6b"
"152",11971.7001953125,11411.099609375,"7_L6a","L6a"
"153",11970.099609375,9496.8203125,"8_L6b","L6b"
"154",12017.2001953125,9475.7001953125,"8_L6b","L6b"
"155",12009.099609375,11048.7001953125,"7_L6a","L6a"
"156",12078.900390625,10936.599609375,"7_L6a","L6a"
"157",12020.400390625,9955.0703125,"7_L6a","L6a"
"158",12109.7998046875,9306.7001953125,"8_L6b","L6b"
"159",12111.400390625,9090.5703125,"8_L6b","L6b"
"160",12147.2001953125,9607.3203125,"8_L6b","L6b"
"161",12161.7998046875,10156.599609375,"7_L6a","L6a"
"162",12148.7998046875,10837.400390625,"7_L6a","L6a"
"163",12184.599609375,10585.599609375,"7_L6a","L6a"
"164",12184.599609375,8989.8203125,"8_L6b","L6b"
"165",12158.599609375,9045.0703125,"8_L6b","L6b"
"166",12189.400390625,9163.7001953125,"8_L6b","L6b"
"167",12236.599609375,10457.2001953125,"7_L6a","L6a"
"168",12215.400390625,9061.3203125,"8_L6b","L6b"
"169",12204.099609375,10897.599609375,"7_L6a","L6a"
"170",12195.900390625,11300.599609375,"7_L6a","L6a"
"171",12212.2001953125,9438.3203125,"8_L6b","L6b"
"172",12265.7998046875,10245.900390625,"7_L6a","L6a"
"173",12212.2001953125,9750.3203125,"8_L6b","L6b"
"174",12277.2001953125,10910.599609375,"7_L6a","L6a"
"175",12275.599609375,9847.8203125,"8_L6b","L6b"
"176",12319.400390625,9462.7001953125,"8_L6b","L6b"
"177",12317.7998046875,10748.099609375,"7_L6a","L6a"
"178",12384.400390625,11074.7001953125,"7_L6a","L6a"
"179",12360.099609375,11294.099609375,"7_L6a","L6a"
"180",12350.2998046875,10083.400390625,"8_L6b","L6b"
"181",12387.7001953125,10660.2998046875,"7_L6a","L6a"
"182",12449.400390625,9724.3203125,"8_L6b","L6b"
"183",12420.2001953125,9579.7001953125,"8_L6b","L6b"
"184",12446.2001953125,10037.900390625,"8_L6b","L6b"
"185",12413.7001953125,9028.8203125,"8_L6b","L6b"
"186",12480.2998046875,10811.400390625,"7_L6a","L6a"
"187",12439.7001953125,10154.900390625,"8_L6b","L6b"
"188",12516.099609375,8822.4501953125,"8_L6b","L6b"
"189",12551.7998046875,11183.599609375,"7_L6a","L6a"
"190",12548.599609375,10015.2001953125,"8_L6b","L6b"
"191",12603.7998046875,8762.3203125,"8_L6b","L6b"
"192",12633.099609375,10375.900390625,"8_L6b","L6b"
"193",12670.400390625,10678.2001953125,"7_L6a","L6a"
"194",12676.900390625,9348.9501953125,"8_L6b","L6b"
"195",12699.7001953125,9787.7001953125,"8_L6b","L6b"
"196",12758.2001953125,10671.7001953125,"7_L6a","L6a"
"197",12750.099609375,10579.099609375,"8_L6b","L6b"
"198",12758.2001953125,10293.099609375,"8_L6b","L6b"
"199",12785.7998046875,9930.7001953125,"8_L6b","L6b"
"200",12741.900390625,9157.2001953125,"8_L6b","L6b"
"201",12714.2998046875,11118.599609375,"7_L6a","L6a"
"202",12767.900390625,8919.9501953125,"8_L6b","L6b"
"203",12776.099609375,10816.2998046875,"7_L6a","L6a"
"204",12847.599609375,9418.8203125,"8_L6b","L6b"
"205",12860.599609375,9670.7001953125,"8_L6b","L6b"
"206",12865.400390625,9062.9501953125,"8_L6b","L6b"
"207",12881.7001953125,9212.4501953125,"8_L6b","L6b"
"208",12871.900390625,8874.4501953125,"8_L6b","L6b"
"209",12915.7998046875,10307.7001953125,"8_L6b","L6b"
"210",12953.2001953125,8994.7001953125,"8_L6b","L6b"
"211",12945.099609375,10959.2998046875,"7_L6a","L6a"
"212",12945.099609375,10518.900390625,"8_L6b","L6b"
"213",12997.099609375,9248.2001953125,"8_L6b","L6b"
"214",12953.2001953125,9322.9501953125,"8_L6b","L6b"
"215",13036.099609375,10236.2001953125,"8_L6b","L6b"
"216",13049.099609375,9422.8896484375,"8_L6b","L6b"
"217",13013.2998046875,9933.9501953125,"8_L6b","L6b"
"218",13057.2001953125,10502.7001953125,"8_L6b","L6b"
"219",13040.900390625,10358.099609375,"8_L6b","L6b"
"220",13109.2001953125,11082.7998046875,"7_L6a","L6a"
"221",13081.599609375,9033.7001953125,"8_L6b","L6b"
"222",13084.7998046875,9816.9501953125,"8_L6b","L6b"
"223",13084.7998046875,9695.0703125,"8_L6b","L6b"
"224",13115.7001953125,10052.599609375,"8_L6b","L6b"
"225",13140.099609375,8658.3203125,"8_L6b","L6b"
"226",13154.7001953125,10413.2998046875,"8_L6b","L6b"
"227",13174.2001953125,8975.2001953125,"8_L6b","L6b"
"228",13208.2998046875,10946.2998046875,"8_L6b","L6b"
"229",13216.400390625,9959.9501953125,"8_L6b","L6b"
"230",13224.599609375,10749.7001953125,"8_L6b","L6b"
"231",13279.7998046875,9664.2001953125,"8_L6b","L6b"
"232",13309.099609375,10725.2998046875,"8_L6b","L6b"
"233",13286.2998046875,10133.7998046875,"8_L6b","L6b"
"234",13367.599609375,10847.2001953125,"8_L6b","L6b"
"235",13348.099609375,9439.9501953125,"8_L6b","L6b"
"236",13346.5,9839.7001953125,"8_L6b","L6b"
"237",13390.2998046875,10505.900390625,"8_L6b","L6b"
"238",13395.2001953125,9787.7001953125,"8_L6b","L6b"
"239",13351.2998046875,9020.7001953125,"8_L6b","L6b"
"240",13442.2998046875,9100.3203125,"8_L6b","L6b"
"241",13426.099609375,8544.5703125,"",""
"242",13444,10726.900390625,"8_L6b","L6b"
"243",13479.7001953125,10414.900390625,"8_L6b","L6b"
"244",13479.7001953125,10154.900390625,"8_L6b","L6b"
"245",13478.099609375,11125.099609375,"8_L6b","L6b"
"246",13512.2001953125,9875.4501953125,"8_L6b","L6b"
"247",13551.2001953125,9053.2001953125,"8_L6b","L6b"
"248",13559.2998046875,10853.7001953125,"8_L6b","L6b"
"249",13573.099609375,9132.8203125,"8_L6b","L6b"
"250",13598.2998046875,10185.7998046875,"8_L6b","L6b"
"251",13629.2001953125,11372.099609375,"8_L6b","L6b"
"252",13616.2001953125,10297.900390625,"8_L6b","L6b"
"253",13671.5,10371.099609375,"8_L6b","L6b"
"254",13630.7998046875,11272.900390625,"8_L6b","L6b"
"255",13642.2001953125,8721.7001953125,"",""
