"","x","y","ID","SA"
"778",18171.230942376,24590.7952745695,"8_L6b","L6b"
"1409",19838.0808946982,6456.14468656944,"",""
"3642",11247.4337149672,36626.8924151427,"6_L5","L5"
"1302",19253.2312989516,7389.73123729076,"",""
"1285",19612.5274670653,10793.1605658945,"",""
"769",18374.2957956846,26286.8566539081,"7_L6a","L6a"
"1466",18132.0197619544,2115.03702738755,"",""
"5870",4197.7892804052,39465.3559028614,"6_L5","L5"
"1392",20452.0726849687,6184.98116876135,"",""
"5682",3757.86634863543,46281.167166255,"3_L1","L1"
"1274",19865.6239106444,8311.17249446985,"",""
"1464",18185.3516108364,2875.96447548664,"",""
"1263",20162.8493415322,10008.2584959042,"",""
"1277",19770.3346002926,7493.36858742616,"",""
"6337",2693.98949759729,32856.0873403172,"8_L6b","L6b"
"4303",12253.1166170982,20071.13409671,"",""
"2071",13784.1178107188,32426.4644953405,"6_L5","L5"
"1416",19527.7561292191,6218.57057440984,"",""
"993",19648.7047296314,15436.1066820669,"",""
"1273",19862.8533934801,9628.27281465004,"",""
"6195",1359.3573354356,36330.0419961344,"7_L6a","L6a"
"4907",8659.30343832749,35851.4969535967,"6_L5","L5"
"4094",10190.9508289713,30338.1355630579,"8_L6b","L6b"
"2244",14032.2143330446,28694.6329724455,"7_L6a","L6a"
"5036",5298.84377010284,36870.7260715425,"7_L6a","L6a"
"1299",19340.5882733527,7511.05823370459,"",""
"2209",14993.7885032286,30330.2027482064,"7_L6a","L6a"
"4690",8909.12488826057,43113.5370173302,"4_L2/3","L2/3"
"1411",19717.8021101172,6387.98706118443,"",""
"5719",2858.60715127884,44533.2973492845,"4_L2/3","L2/3"
"1249",20432.1780645065,9290.21349995171,"",""
"6435",693.237882698144,35159.1415419326,"8_L6b","L6b"
"6046",5280.60428808355,36870.1940988816,"7_L6a","L6a"
"645",19085.9650413195,27355.8232576252,"7_L6a","L6a"
"3427",11204.0792324121,40474.3844870047,"4_L2/3","L2/3"
"1297",19350.8991225778,9761.88165853298,"",""
"4287",13106.2374155435,20447.4542491821,"",""
"3959",12959.7514377079,28200.1726324529,"8_L6b","L6b"
"1148",19145.4067246255,11503.7026144531,"",""
"5867",4284.53857642515,41108.6438871688,"5_L4","L4"
"1845",13987.6328560183,36954.2446225318,"5_L4","L4"
"5754",2276.58068610456,45376.191231481,"4_L2/3","L2/3"
"1414",19584.9921097051,6383.09712444257,"",""
"1286",19600.2749168445,7779.64589697873,"",""
"2646",14078.665428577,20070.0307983606,"",""
"4980",6898.49849423894,37144.8704058539,"6_L5","L5"
"2311",12681.7946438238,29283.869620303,"8_L6b","L6b"
"765",18527.7431326765,24763.674487676,"8_L6b","L6b"
"1279",19673.8872203708,9450.06625461042,"",""
"4568",7699.19974134619,43542.0020282885,"4_L2/3","L2/3"
"3901",9629.83584444755,32022.1419259636,"7_L6a","L6a"
"2848",15135.1664384542,12878.3256575327,"",""
"1284",19618.3324394237,9121.47263319937,"",""
"1271",19997.6083866395,9890.23473374092,"",""
"1306",19076.438036661,8711.97727898423,"",""
"3477",9921.7578243446,41871.0069990859,"4_L2/3","L2/3"
"170",17883.4504917303,39286.3062062824,"3_L1","L1"
"2157",16436.3805739043,28542.0647849094,"7_L6a","L6a"
"1806",14537.885733518,37777.1056453443,"5_L4","L4"
"4609",6437.62072705087,45215.0970499768,"3_L1","L1"
"3758",8667.9896605175,35860.9964592292,"6_L5","L5"
"2083",13592.799171096,32650.3687537771,"6_L5","L5"
"687",17911.6656426305,29505.9603191317,"6_L5","L5"
"2293",12959.7514377079,28200.1726324529,"8_L6b","L6b"
"1425",19226.1973301177,6821.61802354548,"",""
"6196",1355.37334693398,36097.7309274314,"7_L6a","L6a"
"1334",18460.586177141,7924.1809827505,"",""
"6157",2342.53915457904,38931.1606635991,"7_L6a","L6a"
"3313",10716.9906526856,43654.1315261037,"3_L1","L1"
"5692",3518.92918039604,45751.3969315753,"4_L2/3","L2/3"
"5724",2783.41784351564,46250.7994957898,"4_L2/3","L2/3"
"1281",19659.7973091373,7962.25332656405,"",""
"4725",8009.14365769487,40652.2284911915,"5_L4","L4"
"1290",19538.6863420842,10010.4937467323,"",""
"4504",12824.2136457517,1349.51164540678,"",""
"3881",10241.3222597232,30568.6607195792,"8_L6b","L6b"
"205",20575.7968722681,36862.5701729936,"3_L1","L1"
"6302",3551.94897438721,33796.7243169171,"8_L6b","L6b"
"5048",5002.10851630733,38313.7042364726,"6_L5","L5"
"5413",5950.14005271731,30493.2790894729,"8_L6b","L6b"
"5857",4503.3534065194,40929.594967435,"5_L4","L4"
"1253",20310.2904748093,7655.4114681598,"",""
"1291",19448.4636903016,8294.50986072891,"",""
"768",18452.8355918602,24291.7969219807,"8_L6b","L6b"
"767",18386.6834534291,24722.6900014265,"8_L6b","L6b"
"3307",11851.8304486966,43454.3905741431,"3_L1","L1"
"7328",1335.52990024986,36207.4605843048,"7_L6a","L6a"
"164",18996.9757185986,38691.6335096072,"3_L1","L1"
"2843",15492.7407606338,11871.7646725749,"",""
"5386",6703.52996607152,27688.8472791148,"",""
"2670",13106.2374155435,20447.4542491821,"",""
"7350",713.274068343424,36019.1140106391,"7_L6a","L6a"
"5740",2430.19392557574,45660.7657904574,"4_L2/3","L2/3"
"1267",20022.9349518081,9366.70122483656,"",""
"1259",20275.9178659603,9768.02540275116,"",""
"1408",19882.5521771912,6004.24825132827,"",""
"6218",713.274068343424,36019.1140106391,"7_L6a","L6a"
"2174",15936.396302184,28541.9195537223,"7_L6a","L6a"
"6015",1359.50390392275,40071.0711264582,"6_L5","L5"
"4435",12832.1353268336,13389.4493573382,"",""
"1301",19228.1916645697,7636.37904031623,"",""
"4672",9280.0569810869,42805.4968961752,"4_L2/3","L2/3"
"6058",5002.10851630733,38313.7042364726,"6_L5","L5"
"5185",6893.04997537764,31963.3434640451,"8_L6b","L6b"
"1465",18213.7856889117,2078.75180373462,"",""
"6254",4592.15125187532,34199.6529954193,"8_L6b","L6b"
"5219",6057.63713792718,32693.9774528952,"8_L6b","L6b"
"4990",6721.87145688092,36074.1076720721,"7_L6a","L6a"
"3560",12942.833717521,38886.107971628,"5_L4","L4"
"1336",18370.9369838416,7266.51638991066,"",""
"1289",19542.5185434037,9308.74084403351,"",""
"3759",13252.6373139065,31563.8759381613,"7_L6a","L6a"
"6174",1876.45662293657,36775.7476666866,"7_L6a","L6a"
"1280",19672.3068245919,7355.95249555257,"",""
"6189",1496.26684763108,37761.9322015177,"7_L6a","L6a"
"1415",19555.5357150005,5931.05826596505,"",""
"1269",20038.4903479381,9072.82084663038,"",""
"7382",33.1260831233885,35980.3988534489,"8_L6b","L6b"
"1272",19919.3218269426,8767.72318318324,"",""
"6372",2074.5491929762,34267.6966053175,"8_L6b","L6b"
"1264",20119.6423579725,9696.91136215919,"",""
"2233",14342.0038297069,27532.9290238725,"8_L6b","L6b"
"7383",0,35517.6325537358,"8_L6b","L6b"
"5877",4082.44775450076,41511.0147731023,"5_L4","L4"
"1296",19342.5023917712,10949.5281051394,"",""
"1275",19811.1124608435,8519.77532891759,"",""
