"","x","y","ID","SA"
"Cell_0",-1.59391557849063,-0.86313429935313,"8_L6b","L6b"
"Cell_1",-1.76198880065563,-0.709718829516052,"8_L6b","L6b"
"Cell_2",-0.990573300390785,-0.83619767600454,"",""
"Cell_3",-1.69227233700756,-0.711398323834122,"9_cc","cc"
"Cell_4",-1.12509153472839,-0.789091551816518,"",""
"Cell_5",-1.78915328049757,-0.348886330556946,"",""
"Cell_6",-1.05985537049981,-0.852492934473472,"",""
"Cell_7",-1.68682342954212,-0.883194150233303,"8_L6b","L6b"
"Cell_8",-1.62131736918435,-0.801152622203591,"8_L6b","L6b"
"Cell_9",-1.04071125772058,-0.871587856287465,"",""
"Cell_10",-1.61822777054561,-0.622456148643894,"",""
"Cell_11",-1.08585141272048,-0.827993550657542,"",""
"Cell_12",-1.53107682117625,-0.870879838138821,"8_L6b","L6b"
"Cell_13",-1.48756207943403,-0.840523095215978,"9_cc","cc"
"Cell_14",-1.74049112491784,-0.759537821184386,"8_L6b","L6b"
"Cell_15",-1.08789421749979,-0.805751082315409,"",""
"Cell_16",-1.75621864206594,-0.888888935243045,"8_L6b","L6b"
"Cell_17",-1.68674833264,-0.783615224990883,"8_L6b","L6b"
"Cell_18",-1.56393377225081,-0.855990231118914,"8_L6b","L6b"
"Cell_19",-1.79034948145203,-0.768092718635881,"8_L6b","L6b"
"Cell_20",-1.71795364174809,-0.76501692005482,"8_L6b","L6b"
"Cell_21",-1.75699581624632,-0.457758911467816,"",""
"Cell_22",-1.11436301705577,-0.750469280459481,"",""
"Cell_23",-1.4665516769147,-0.826653794006151,"9_cc","cc"
"Cell_24",-1.65200554114786,-0.784527831620077,"8_L6b","L6b"
"Cell_25",-1.48272843944583,-0.8634496299898,"9_cc","cc"
"Cell_26",-1.17054897937955,-0.776861687291711,"",""
"Cell_27",-0.94630657314686,-0.852971870085861,"",""
"Cell_28",-1.73202799615182,-0.892962069264269,"8_L6b","L6b"
"Cell_29",-1.72568515908415,-0.692424012979469,"9_cc","cc"
"Cell_30",-1.74350526160774,-0.505195047271667,"",""
"Cell_31",-1.47006979560076,-0.895382630111257,"8_L6b","L6b"
"Cell_32",-1.57715216712887,-0.823117338672649,"8_L6b","L6b"
"Cell_33",-1.59962371039305,-0.827999065331914,"8_L6b","L6b"
"Cell_34",-1.78022611368718,-0.471974675226761,"",""
"Cell_35",-1.53395691450649,-0.633024031853014,"",""
"Cell_36",-1.79462963420371,-0.687816953987303,"8_L6b","L6b"
"Cell_37",-1.62022283801801,-0.892248673068123,"8_L6b","L6b"
"Cell_38",-0.986347493615206,-0.777514424397809,"",""
"Cell_39",-0.972116408804305,-0.742464362953702,"",""
"Cell_40",-1.01380197498194,-0.796981973390194,"",""
"Cell_41",-1.57488910084127,-0.767684781822432,"9_cc","cc"
"Cell_42",-1.745067316485,-0.785920216026762,"8_L6b","L6b"
"Cell_43",-1.64100414045971,-0.713599876982386,"",""
"Cell_44",-1.68693310193753,-0.567710790200416,"",""
"Cell_45",-1.0703882776131,-0.761802510093976,"",""
"Cell_46",-1.42361350496572,-0.872917380436759,"9_cc","cc"
"Cell_47",-1.53296843686466,-0.886857614181725,"8_L6b","L6b"
"Cell_48",-1.01443419252893,-0.851282872316976,"",""
"Cell_49",-1.50693409171675,-0.812024734318156,"9_cc","cc"
"Cell_50",-0.974904305864513,-0.886912156025167,"",""
"Cell_51",-1.42057499847426,-0.770471675927657,"",""
"Cell_52",-0.949079823984483,-0.81042871995118,"",""
"Cell_53",-1.43603440630976,-0.892580301413209,"9_cc","cc"
"Cell_54",-1.59042337844935,-0.646003702844677,"",""
"Cell_55",-1.1026376906019,-0.772369150152712,"",""
"Cell_56",-1.61382904652966,-0.85994772603377,"8_L6b","L6b"
"Cell_57",-1.7700477906672,-0.67387957915847,"9_cc","cc"
"Cell_58",-1.54898969816541,-0.819980670849398,"9_cc","cc"
"Cell_59",-1.66113187046724,-0.89274400073464,"8_L6b","L6b"
"Cell_60",-1.79188167744356,-0.639228978397755,"9_cc","cc"
"Cell_61",-1.424512759152,-0.851426581187233,"9_cc","cc"
"Cell_62",-1.72225012463571,-0.841710818927453,"8_L6b","L6b"
"Cell_63",-1.069842632487,-0.802636253039633,"",""
"Cell_64",-1.36141465538814,-0.848882003100763,"",""
"Cell_65",-1.65727942181836,-0.873036567150062,"8_L6b","L6b"
"Cell_66",-1.71692585901881,-0.798467797834422,"8_L6b","L6b"
"Cell_67",-1.79474089369863,-0.717812590384849,"8_L6b","L6b"
"Cell_68",-1.70737476687306,-0.743343226451415,"8_L6b","L6b"
"Cell_69",-1.06406456807041,-0.743425123475907,"",""
"Cell_70",-1.53780289086009,-0.668188703515062,"",""
"Cell_71",-1.00885604288789,-0.746758243340586,"",""
"Cell_72",-1.00250720033318,-0.897768484496317,"",""
"Cell_73",-1.54451101199986,-0.789188994749864,"9_cc","cc"
"Cell_74",-1.68533375839547,-0.727973584649624,"9_cc","cc"
"Cell_75",-1.77632819755732,-0.7410039465034,"8_L6b","L6b"
"Cell_76",-1.11018199402286,-0.764370764504502,"",""
"Cell_77",-1.03483661020836,-0.853837294970579,"",""
"Cell_78",-1.70356221463602,-0.778566993652805,"8_L6b","L6b"
"Cell_79",-1.65892942588045,-0.585388374640299,"",""
"Cell_80",-0.999573912014827,-0.728684175190173,"",""
"Cell_81",-1.00934460933385,-0.863220215112025,"",""
"Cell_82",-1.74960935306242,-0.819322202641152,"8_L6b","L6b"
"Cell_83",-1.60377155526221,-0.75846964912152,"9_cc","cc"
"Cell_84",-1.01316964502938,-0.781741657126539,"",""
"Cell_85",-1.73566661870266,-0.794366397260075,"8_L6b","L6b"
"Cell_86",-1.79053332916331,-0.884238626766694,"8_L6b","L6b"
"Cell_87",-0.951778419980753,-0.778296983559023,"",""
"Cell_88",-1.75469365565728,-0.77130435546464,"8_L6b","L6b"
"Cell_89",-1.72920447586401,-0.826328491063031,"8_L6b","L6b"
"Cell_90",-1.77089079382293,-0.498511321200893,"",""
"Cell_91",-1.78299516031787,-0.699467252119044,"8_L6b","L6b"
"Cell_92",-1.52253897492559,-0.810809859890335,"9_cc","cc"
"Cell_93",-1.77008681579866,-0.772887484667339,"8_L6b","L6b"
"Cell_94",-0.995550470531591,-0.884885483112516,"",""
"Cell_95",-1.53580120994853,-0.763489881064092,"",""
"Cell_96",-1.56349334539983,-0.891974437430288,"8_L6b","L6b"
"Cell_97",-1.49235559337831,-0.880131113645464,"8_L6b","L6b"
"Cell_98",-1.74506603075865,-0.893723791286577,"8_L6b","L6b"
"Cell_99",-1.62274731013444,-0.735701048997324,"9_cc","cc"
"Cell_100",-1.73587639079953,-0.711539301565398,"9_cc","cc"
"Cell_101",-1.65601814893944,-0.803648375471094,"8_L6b","L6b"
"Cell_102",-1.67843773574486,-0.70690215469924,"9_cc","cc"
"Cell_103",-1.09894042501565,-0.728311156162717,"",""
"Cell_104",-1.63834424156551,-0.75264241166602,"9_cc","cc"
"Cell_105",-1.60356448634482,-0.790300498119951,"9_cc","cc"
"Cell_106",-1.7848061743212,-0.831307829719009,"8_L6b","L6b"
"Cell_107",-1.57081613188075,-0.600525836503675,"",""
"Cell_108",-1.71551553532248,-0.667066371986181,"",""
"Cell_109",-1.1852924470414,-0.877480879020649,"",""
"Cell_110",-1.65790354306114,-0.724477630205568,"9_cc","cc"
"Cell_111",-1.7377255760205,-0.845309934367581,"8_L6b","L6b"
"Cell_112",-1.47739390770324,-0.788799145724465,"",""
"Cell_113",-0.975478236503429,-0.856482223610329,"",""
"Cell_114",-0.994575408089065,-0.740359399560783,"",""
"Cell_115",-1.66828397019835,-0.820721216266877,"8_L6b","L6b"
"Cell_116",-1.67179240931731,-0.741124542350315,"9_cc","cc"
"Cell_117",-0.968767902785077,-0.762226903828538,"",""
"Cell_118",-1.66592445827678,-0.857045404161035,"8_L6b","L6b"
"Cell_119",-1.75009972337311,-0.879847617772279,"8_L6b","L6b"
"Cell_120",-0.9678404324213,-0.836447026336182,"",""
"Cell_121",-1.20145165037663,-0.818674948657853,"",""
"Cell_122",-1.59091626493566,-0.810737243728184,"8_L6b","L6b"
"Cell_123",-1.68038108427093,-0.766070751344536,"8_L6b","L6b"
"Cell_124",-1.50522279517907,-0.838322072633278,"9_cc","cc"
"Cell_125",-1.20719188893521,-0.752976540352606,"",""
"Cell_126",-1.7931763691035,-0.792682549583233,"8_L6b","L6b"
"Cell_127",-1.61308642529657,-0.599152921231461,"",""
"Cell_128",-1.70756385360492,-0.822596493685176,"8_L6b","L6b"
"Cell_129",-1.59438972163883,-0.792951827054564,"9_cc","cc"
"Cell_130",-1.12652295398651,-0.83552559718694,"",""
"Cell_131",-1.79361242846356,-0.814278277162766,"8_L6b","L6b"
"Cell_132",-1.72277261655021,-0.709043047207649,"9_cc","cc"
"Cell_133",-1.0427085116637,-0.760936023690504,"",""
"Cell_134",-0.966316382353619,-0.798547265401105,"",""
"Cell_135",-1.57159990405182,-0.785991758464843,"9_cc","cc"
"Cell_136",-1.06716999177237,-0.822928606533677,"",""
"Cell_137",-1.00289979240368,-0.763171632382357,"",""
"Cell_138",-1.64056285520416,-0.833225927120281,"8_L6b","L6b"
"Cell_139",-1.70994612777079,-0.700566845801762,"9_cc","cc"
"Cell_140",-1.78035352105698,-0.892642976992637,"8_L6b","L6b"
"Cell_141",-1.51153698180435,-0.878226475442174,"8_L6b","L6b"
"Cell_142",-1.65363935769343,-0.830440057949797,"8_L6b","L6b"
"Cell_143",-0.986682383827946,-0.752953328530162,"",""
"Cell_144",-1.69619164364216,-0.866134575163706,"8_L6b","L6b"
"Cell_145",-1.53684324208616,-0.826689924710582,"9_cc","cc"
"Cell_146",-1.7720690931598,-0.69213053674,"8_L6b","L6b"
"Cell_147",-1.68747084988203,-0.82250211044044,"8_L6b","L6b"
"Cell_148",-1.45787924266444,-0.858230419852222,"9_cc","cc"
"Cell_149",-1.67002414157176,-0.798515556238898,"8_L6b","L6b"
"Cell_150",-1.5828333487994,-0.596371808038672,"",""
"Cell_151",-1.75958726929926,-0.832199016995945,"8_L6b","L6b"
"Cell_152",-1.76757579835108,-0.869433484863255,"8_L6b","L6b"
"Cell_153",-1.63741801908491,-0.79801665174259,"8_L6b","L6b"
"Cell_154",-1.75173628833639,-0.849871845768861,"8_L6b","L6b"
"Cell_155",-1.05241126157021,-0.889434011427106,"",""
"Cell_156",-1.77347504182048,-0.806979996433841,"8_L6b","L6b"
"Cell_157",-0.951039893521927,-0.7305717511836,"",""
"Cell_158",-1.47068363675834,-0.873036700114975,"9_cc","cc"
"Cell_159",-1.74404806340538,-0.487637989241449,"",""
"Cell_160",-1.59563383894487,-0.748761270294977,"9_cc","cc"
"Cell_161",-1.78165595689406,-0.858077830058364,"8_L6b","L6b"
"Cell_162",-1.63566695014646,-0.779239427988583,"8_L6b","L6b"
"Cell_163",-0.946745510679371,-0.794349592390856,"",""
"Cell_164",-0.984746349332141,-0.814498396446766,"",""
"Cell_165",-1.15679188291573,-0.834348586700542,"",""
"Cell_166",-1.41924347281253,-0.803017935992714,"",""
"Cell_167",-1.69445253889674,-0.894240137767488,"8_L6b","L6b"
"Cell_168",-1.07032915484426,-0.83506223540741,"",""
