"","x","y","ID","SA"
"well06_0",11979.7452830189,1262.38679245283,"",""
"well06_1",11785.5393258427,1390.84269662921,"",""
"well06_2",12120.2865329513,1259.39828080229,"",""
"well06_3",11881.8165137615,1337.99082568807,"",""
"well06_4",11942.9512195122,1284.78048780488,"",""
"well06_5",12039.3146067416,1264.28651685393,"",""
"well06_6",11849.2180451128,1333.61654135338,"",""
"well06_7",12173.6470588235,1241.19117647059,"",""
"well06_8",11973.6666666667,1283.30952380952,"",""
"well06_9",11917.4188034188,1302.78632478632,"",""
"well06_10",11812.61,1366.43,"",""
"well06_11",12016.9834710744,1244.63636363636,"",""
"well06_12",11891.7192982456,1307.52631578947,"",""
"well06_13",13397.0068027211,1236.40476190476,"",""
"well06_14",13523.0675105485,879.244725738397,"",""
"well06_15",13073.3108614232,1071.93258426966,"",""
"well06_16",13290.875,1065.68181818182,"",""
"well06_17",12208.8144329897,1242.9587628866,"",""
"well06_18",12447.6066666667,1203.28,"",""
"well06_19",13088.5063694268,1363.92356687898,"",""
"well06_20",13247.4555160142,1313.65836298932,"",""
"well06_21",12537.1333333333,1279.77777777778,"",""
"well06_22",12992.8636363636,1211.36363636364,"",""
"well06_23",13398.9958333333,934.683333333333,"",""
"well06_24",12728.28125,1270.71875,"",""
"well06_25",12347.21875,1210.3671875,"",""
"well06_26",13016.3701923077,1394.95673076923,"",""
"well06_27",13389.6230366492,1020.50785340314,"",""
"well06_28",12261.1336032389,1237.01214574899,"",""
"well06_29",13476.9078014184,907.276595744681,"",""
"well06_30",12981.3046594982,1108.58781362007,"",""
"well06_31",12675.2111801242,1227.19254658385,"",""
"well06_32",12785.9480519481,1282.35714285714,"",""
"well06_33",13057.2692307692,1145.73846153846,"",""
"well06_34",12614.243902439,1259.12195121951,"",""
"well06_35",13064.4590163934,1126.95081967213,"",""
"well06_36",14224.8944723618,694.525125628141,"",""
"well06_37",14463.0289855072,1416.88405797101,"",""
"well06_38",13625.7516778523,1279.06711409396,"",""
"well06_39",13578.208994709,867.793650793651,"",""
"well06_40",14781.7551020408,562.34693877551,"",""
"well06_41",14359.9547169811,877.996226415094,"",""
"well06_42",13728.958490566,992.177358490566,"",""
"well06_43",14040.4487179487,1105.16666666667,"",""
"well06_44",14666.5243445693,770.846441947565,"",""
"well06_45",14650.5,1238.8864628821,"",""
"well06_46",14613.4547803618,599.372093023256,"",""
"well06_47",14082.5989847716,727.883248730965,"",""
"well06_48",14432.8444444444,1222.27777777778,"",""
"well06_49",13703.5555555556,830.143631436314,"",""
"well06_50",14565.1445086705,1411.80346820809,"",""
"well06_51",14325.2177985948,662.461358313817,"",""
"well06_52",13995.7943262411,756.635933806147,"",""
"well06_53",14520.3743455497,619.968586387435,"",""
"well06_54",14272.8985507246,1295.33333333333,"",""
"well06_55",14856.2872928177,1338.88397790055,"",""
"well06_56",14550.1793103448,1351.5724137931,"",""
"well06_57",14241.1016949153,1214.90254237288,"",""
"well06_58",14847.3534136546,1223.63052208835,"",""
"well06_59",14354.4402985075,1337.03731343284,"",""
"well06_60",14053.0666666667,857.426666666667,"",""
"well06_61",14794.3606557377,744.934426229508,"",""
"well06_62",13914.8098591549,954.478873239437,"",""
"well06_63",14750.2164179104,829.671641791045,"",""
"well06_64",14099.6296296296,1033.61111111111,"",""
"well06_65",14493.3215859031,1118.8281938326,"",""
"well06_66",14571.1428571429,714.087912087912,"",""
"well06_67",13819.0705128205,925.551282051282,"",""
"well06_68",14177.6009975062,1344.18703241895,"",""
"well06_69",14733.1914893617,1227.37234042553,"",""
"well06_70",14876.9194630872,748.469798657718,"",""
"well06_71",14189.2796934866,1153.5938697318,"",""
"well06_72",14339.0582010582,1253.95767195767,"",""
"well06_73",13810.0186567164,805.880597014925,"",""
"well06_74",14619.700729927,1125.56934306569,"",""
"well06_75",14089.6285714286,1346.44761904762,"",""
"well06_76",14408.8,1395.98333333333,"",""
"well06_77",14429.0261780105,627.979057591623,"",""
"well06_78",14298.6317991632,1176.30962343096,"",""
"well06_79",14020.1666666667,1168.70634920635,"",""
"well06_80",14301.625,1388.08536585366,"",""
"well06_81",14638.1692789969,1384.33542319749,"",""
"well06_82",14550.118902439,1286.04573170732,"",""
"well06_83",14754.532967033,678.148351648352,"",""
"well06_84",14517.3863636364,1208.5946969697,"",""
"well06_85",14163.5407407407,1214.47407407407,"",""
"well06_86",14763.8163265306,1297.45189504373,"",""
"well06_87",14469.3382352941,1350.62745098039,"",""
"well06_88",14475.1493506493,1297.47727272727,"",""
"well06_89",13894.8637873754,778.847176079734,"",""
"well06_90",13631.0516431925,844.446009389671,"",""
"well06_91",14576.2772277228,1216.62376237624,"",""
"well06_92",14375.8306451613,1188.91935483871,"",""
"well06_93",14847.4637681159,1277.26086956522,"",""
"well06_94",14678.0048076923,585.014423076923,"",""
"well06_95",14421.9551282051,1266.78846153846,"",""
"well06_96",14392.2164179104,644.022388059701,"",""
"well06_97",14151.8068669528,708.862660944206,"",""
"well06_98",14101.0902255639,1401.61654135338,"",""
"well06_99",14457.2905405405,618.391891891892,"",""
"well06_100",14047.4279069767,1350.13953488372,"",""
"well06_101",14796.4459459459,1229.14864864865,"",""
"well06_102",13694.4047619048,1308.11904761905,"",""
"well06_103",16066.4251968504,602.307086614173,"",""
"well06_104",15473.2131147541,792.967213114754,"",""
"well06_105",16104.3094170404,1310.93721973094,"",""
"well06_106",15126.5757575758,797.469696969697,"",""
"well06_107",15925.467032967,452.989010989011,"",""
"well06_108",16105.5988372093,885.779069767442,"",""
"well06_109",15646.5625,704.325,"",""
"well06_110",15146.8734177215,637.354430379747,"",""
"well06_111",15826.8638297872,580.548936170213,"",""
"well06_112",15633.7150537634,922.440860215054,"",""
"well06_113",15281.7077922078,843.818181818182,"",""
"well06_114",16132.0753424658,443.047945205479,"",""
"well06_115",15648.0833333333,1174.73214285714,"",""
"well06_116",15150.0957446809,525.04609929078,"",""
"well06_117",15358.1017699115,1164.85840707965,"",""
"well06_118",15018.8232931727,550.911646586345,"",""
"well06_119",16180.782396088,1158.9217603912,"",""
"well06_120",15377.0699300699,484.143356643357,"",""
"well06_121",15955.5208333333,1404.10416666667,"",""
"well06_122",15405.8695652174,1297.01086956522,"",""
"well06_123",16204.1351351351,1370.08783783784,"",""
"well06_124",15638.1592505855,467.379391100703,"",""
"well06_125",14910.1395348837,1285.85465116279,"",""
"well06_126",15194.3863636364,1236.72159090909,"",""
"well06_127",14939.5423728814,1021.29943502825,"",""
"well06_128",15473.4433497537,1002.39408866995,"",""
"well06_129",15515.4365325077,1391.53250773994,"",""
"well06_130",15832.0808080808,1222.10101010101,"",""
"well06_131",14994.0507246377,761.963768115942,"",""
"well06_132",15360.5982905983,768.641025641026,"",""
"well06_133",16025.9954545455,979.668181818182,"",""
"well06_134",15889.0859872611,730.264331210191,"",""
"well06_135",15579.3116883117,630.133116883117,"",""
"well06_136",15146.5425531915,1397.02127659574,"",""
"well06_137",14958.5898617512,1360.14285714286,"",""
"well06_138",15797.75,679.318181818182,"",""
"well06_139",15559.8056768559,1246.2903930131,"",""
"well06_140",15451.4860335196,494.625698324022,"",""
"well06_141",15796.2390243902,457.40487804878,"",""
"well06_142",16046.0107526882,459.940860215054,"",""
"well06_143",15710.8555555556,1123.23888888889,"",""
"well06_144",15120.9615384615,1209,"",""
"well06_145",15270.4718309859,1131.30281690141,"",""
"well06_146",15726.9519230769,458.365384615385,"",""
"well06_147",15037.314893617,949.148936170213,"",""
"well06_148",15914.21,580.955,"",""
"well06_149",15993.4595959596,1314.0303030303,"",""
"well06_150",16144.308988764,1404.77528089888,"",""
"well06_151",15563.4333333333,790.689743589744,"",""
"well06_152",15876.5597269625,1342.37201365188,"",""
"well06_153",15030.0638297872,1381.46276595745,"",""
"well06_154",15339.6666666667,850.177777777778,"",""
"well06_155",15532.3163265306,472.579081632653,"",""
"well06_156",16161.6956521739,1300.73913043478,"",""
"well06_157",15901.0893854749,1417.44134078212,"",""
"well06_158",14957.4339622642,556.088050314465,"",""
"well06_159",15213.8101265823,502.564556962025,"",""
"well06_160",15066.9086021505,779.139784946237,"",""
"well06_161",15970.5326086957,479.714673913043,"",""
"well06_162",15649.979757085,1373.76518218623,"",""
"well06_163",15535.5,1344.475,"",""
"well06_164",16020.6688102894,1419.32797427653,"",""
"well06_165",15866.7371428571,440.337142857143,"",""
"well06_166",15676.875,1008.6875,"",""
"well06_167",16033.3103448276,860.870689655172,"",""
"well06_168",16164.9787234043,904.276595744681,"",""
"well06_169",16151.5517241379,866.724137931035,"",""
"well06_170",15243.4489795918,1265.55782312925,"",""
"well06_171",15311.9578651685,494.292134831461,"",""
"well06_172",15065.5555555556,518.199233716475,"",""
"well06_173",15864.5555555556,487.666666666667,"",""
"well06_174",14896.4857142857,754.971428571429,"",""
"well06_175",16192.9191176471,428.602941176471,"",""
"well06_176",15757.3888888889,720.416666666667,"",""
"well06_177",14939.1739130435,585.282608695652,"",""
"well06_178",15110.8304093567,517.228070175439,"",""
"well06_179",15265.5656565657,1309.45454545455,"",""
"well06_180",16717.5425531915,588.021276595745,"",""
"well06_181",16363.4461942257,400.939632545932,"",""
"well06_182",17214.676056338,703.920187793427,"",""
"well06_183",17460.4359673025,405.313351498638,"",""
"well06_184",17184.469273743,378.608938547486,"",""
"well06_185",17082.5942028986,387.876811594203,"",""
"well06_186",17368.5525291829,396.264591439689,"",""
"well06_187",16672.472392638,1300.20245398773,"",""
"well06_188",16634.7377622378,390.010489510489,"",""
"well06_189",17197.0254545455,533.352727272727,"",""
"well06_190",16432.3910761155,608.779527559055,"",""
"well06_191",17485.0708333333,696.845833333333,"",""
"well06_192",17095.1437125748,838.323353293413,"",""
"well06_193",16755.9748201439,832.964028776978,"",""
"well06_194",16908.1993670886,385.48417721519,"",""
"well06_195",17207.9037267081,929.934782608696,"",""
"well06_196",17056.2283737024,1168.03806228374,"",""
"well06_197",16629.9893238434,973.708185053381,"",""
"well06_198",17200.9268292683,1151.70731707317,"",""
"well06_199",17164.4034707158,1390.1431670282,"",""
"well06_200",16876.5405405405,1402.53513513514,"",""
"well06_201",16363.8839506173,1315.94567901235,"",""
"well06_202",16485.3240418118,1401.4181184669,"",""
"well06_203",16506.8502415459,1085.15942028986,"",""
"well06_204",16912.7828571429,1118.88,"",""
"well06_205",17341.702020202,614.525252525253,"",""
"well06_206",16417.5398773006,923.828220858896,"",""
"well06_207",16835.2455357143,545.174107142857,"",""
"well06_208",16323.6075949367,1183.81012658228,"",""
"well06_209",16560.1942857143,513.72,"",""
"well06_210",16735.8146911519,380.419031719533,"",""
"well06_211",17016.0948905109,755.018248175183,"",""
"well06_212",16644.3191489362,821.290780141844,"",""
"well06_213",16318.3691756272,730.236559139785,"",""
"well06_214",17184.0810810811,1045.55405405405,"",""
"well06_215",17057.5238095238,1333.46428571429,"",""
"well06_216",16937.2339449541,1302.49541284404,"",""
"well06_217",16341.9264705882,611.904411764706,"",""
"well06_218",16252.0720720721,512.396396396396,"",""
"well06_219",17310.4078212291,1400.45251396648,"",""
"well06_220",16818.1661341853,1367.49520766773,"",""
"well06_221",16912.2146892655,475.468926553672,"",""
"well06_222",16653.2479508197,1078.89754098361,"",""
"well06_223",16540.0348027842,1265.10672853828,"",""
"well06_224",16542.3035714286,1334.74285714286,"",""
"well06_225",16561.6372180451,385.582706766917,"",""
"well06_226",16495.0314136126,389.947643979058,"",""
"well06_227",16573.9111111111,1420.03703703704,"",""
"well06_228",16420.5970149254,1232.49253731343,"",""
"well06_229",16271.9230769231,1331.25339366516,"",""
"well06_230",17363.8871595331,1356.22957198444,"",""
"well06_231",16274.1886792453,603.514150943396,"",""
"well06_232",16836.3074324324,387.459459459459,"",""
"well06_233",16530.9898989899,1165.08417508418,"",""
"well06_234",17430,659.68253968254,"",""
"well06_235",16986.6056338028,386.93896713615,"",""
"well06_236",16280.046875,463,"",""
"well06_237",17184.4492753623,425.188405797101,"",""
"well06_238",16752.1529411765,1277.33725490196,"",""
"well06_239",17246.4021505376,391.774193548387,"",""
"well06_240",16352.7953667954,1156.31274131274,"",""
"well06_241",16367.6538461538,708.057692307692,"",""
"well06_242",16678.9511400651,1234.39087947883,"",""
"well06_243",17153.8168316832,644.707920792079,"",""
"well06_244",16293.7067669173,405.424812030075,"",""
"well06_245",16438.711038961,396.633116883117,"",""
"well06_246",17034.2009569378,393.354066985646,"",""
"well06_247",16293.8313253012,1400.95180722892,"",""
"well06_248",17142.983935743,391.421686746988,"",""
"well06_249",16954.6494845361,375.226804123711,"",""
"well06_250",17522.783625731,418.245614035088,"",""
"well06_251",17309.1570247934,393.768595041322,"",""
"well06_252",18232.344,534.244,"",""
"well06_253",17775.4880952381,597.220238095238,"",""
"well06_254",17921.4471544715,1373.56097560976,"",""
"well06_255",18526.9541864139,277.19747235387,"",""
"well06_256",18179.7750759878,875.996960486322,"",""
"well06_257",18289.177852349,1421.20805369128,"",""
"well06_258",17656.4727272727,751.690909090909,"",""
"well06_259",18194.1923076923,754.970085470085,"",""
"well06_260",18484.6379928315,1401.90322580645,"",""
"well06_261",18870.7797356828,852.105726872247,"",""
"well06_262",18546.1913875598,996.861244019139,"",""
"well06_263",17985.3777777778,1120.72592592593,"",""
"well06_264",18889.9197530864,429.061728395062,"",""
