"","x","y","ID","SA"
"1",567.176,948.242,"1_LM","LM"
"2",567.176,948.242,"1_LM","LM"
"3",566.818,947.647,"1_LM","LM"
"4",566.459,947.113,"1_LM","LM"
"5",566.096,946.634,"1_LM","LM"
"6",565.725,946.203,"1_LM","LM"
"7",565.343,945.814,"1_LM","LM"
"8",564.947,945.461,"1_LM","LM"
"9",564.534,945.139,"1_LM","LM"
"10",564.1,944.841,"1_LM","LM"
"11",563.642,944.56,"1_LM","LM"
"12",563.156,944.292,"1_LM","LM"
"13",562.64,944.029,"1_LM","LM"
"14",562.091,943.766,"1_LM","LM"
"15",561.504,943.496,"1_LM","LM"
"16",560.876,943.214,"1_LM","LM"
"17",560.205,942.913,"1_LM","LM"
"18",559.487,942.588,"1_LM","LM"
"19",558.718,942.231,"1_LM","LM"
"20",557.896,941.838,"1_LM","LM"
"21",557.017,941.401,"1_LM","LM"
"22",556.078,940.915,"1_LM","LM"
"23",555.075,940.374,"1_LM","LM"
"24",554.006,939.772,"1_LM","LM"
"25",552.867,939.102,"1_LM","LM"
"26",551.654,938.359,"1_LM","LM"
"27",550.364,937.536,"1_LM","LM"
"28",548.995,936.627,"1_LM","LM"
"29",547.543,935.626,"1_LM","LM"
"30",546.004,934.527,"1_LM","LM"
"31",544.375,933.324,"1_LM","LM"
"32",544.375,933.324,"1_LM","LM"
"33",542.52,931.721,"1_LM","LM"
"34",540.325,929.458,"1_LM","LM"
"35",537.819,926.58,"1_LM","LM"
"36",535.03,923.133,"1_LM","LM"
"37",531.989,919.161,"1_LM","LM"
"38",528.724,914.712,"1_LM","LM"
"39",525.263,909.831,"1_LM","LM"
"40",521.638,904.562,"1_LM","LM"
"41",517.876,898.953,"1_LM","LM"
"42",514.006,893.048,"1_LM","LM"
"43",510.058,886.894,"1_LM","LM"
"44",506.061,880.535,"1_LM","LM"
"45",502.044,874.018,"1_LM","LM"
"46",498.036,867.388,"1_LM","LM"
"47",494.067,860.691,"1_LM","LM"
"48",490.164,853.973,"1_LM","LM"
"49",486.358,847.278,"1_LM","LM"
"50",482.678,840.654,"1_LM","LM"
"51",479.153,834.145,"1_LM","LM"
