"","x","y","ID","SA"
"1",5603.246,-22.267,"2_?","?"
"2",5603.246,-22.267,"2_?","?"
"3",5602.935,-22.846,"2_?","?"
"4",5602.035,-24.551,"2_?","?"
"5",5600.59,-27.333,"2_?","?"
"6",5598.649,-31.145,"2_?","?"
"7",5596.256,-35.939,"2_?","?"
"8",5593.459,-41.667,"2_?","?"
"9",5590.304,-48.281,"2_?","?"
"10",5586.837,-55.734,"2_?","?"
"11",5583.105,-63.977,"2_?","?"
"12",5579.153,-72.962,"2_?","?"
"13",5575.029,-82.642,"2_?","?"
"14",5570.778,-92.969,"2_?","?"
"15",5566.447,-103.894,"2_?","?"
"16",5562.083,-115.37,"2_?","?"
"17",5557.732,-127.35,"2_?","?"
"18",5553.44,-139.784,"2_?","?"
"19",5549.253,-152.626,"2_?","?"
"20",5545.218,-165.826,"2_?","?"
"21",5541.381,-179.339,"2_?","?"
"22",5537.789,-193.114,"2_?","?"
"23",5534.489,-207.106,"2_?","?"
"24",5531.525,-221.265,"2_?","?"
"25",5528.945,-235.543,"2_?","?"
"26",5526.795,-249.894,"2_?","?"
"27",5525.122,-264.269,"2_?","?"
"28",5523.972,-278.62,"2_?","?"
"29",5523.391,-292.899,"2_?","?"
"30",5523.425,-307.058,"2_?","?"
"31",5524.122,-321.05,"2_?","?"
"32",5524.122,-321.05,"2_?","?"
"33",5524.67,-334.659,"2_?","?"
"34",5524.249,-347.727,"2_?","?"
"35",5522.891,-360.287,"2_?","?"
"36",5520.626,-372.377,"2_?","?"
"37",5517.484,-384.029,"2_?","?"
"38",5513.498,-395.28,"2_?","?"
"39",5508.698,-406.164,"2_?","?"
"40",5503.115,-416.716,"2_?","?"
"41",5496.78,-426.972,"2_?","?"
"42",5489.723,-436.967,"2_?","?"
"43",5481.977,-446.734,"2_?","?"
"44",5473.572,-456.31,"2_?","?"
"45",5464.538,-465.73,"2_?","?"
"46",5454.907,-475.028,"2_?","?"
"47",5444.71,-484.24,"2_?","?"
"48",5433.978,-493.4,"2_?","?"
"49",5422.742,-502.544,"2_?","?"
"50",5411.033,-511.706,"2_?","?"
"51",5398.881,-520.922,"2_?","?"
"52",5386.318,-530.227,"2_?","?"
"53",5373.374,-539.655,"2_?","?"
"54",5360.081,-549.242,"2_?","?"
"55",5346.47,-559.022,"2_?","?"
"56",5332.571,-569.031,"2_?","?"
"57",5318.416,-579.304,"2_?","?"
"58",5304.036,-589.876,"2_?","?"
"59",5289.461,-600.782,"2_?","?"
"60",5274.722,-612.056,"2_?","?"
"61",5259.851,-623.734,"2_?","?"
"62",5259.851,-623.734,"2_?","?"
"63",5244.764,-635.739,"2_?","?"
"64",5229.366,-647.952,"2_?","?"
"65",5213.675,-660.347,"2_?","?"
"66",5197.707,-672.897,"2_?","?"
"67",5181.479,-685.575,"2_?","?"
"68",5165.008,-698.356,"2_?","?"
"69",5148.311,-711.212,"2_?","?"
"70",5131.403,-724.117,"2_?","?"
"71",5114.302,-737.044,"2_?","?"
"72",5097.025,-749.968,"2_?","?"
"73",5079.587,-762.86,"2_?","?"
"74",5062.006,-775.696,"2_?","?"
"75",5044.299,-788.447,"2_?","?"
"76",5026.482,-801.088,"2_?","?"
"77",5008.572,-813.592,"2_?","?"
"78",4990.585,-825.933,"2_?","?"
"79",4972.538,-838.084,"2_?","?"
"80",4954.448,-850.018,"2_?","?"
"81",4936.331,-861.708,"2_?","?"
"82",4918.205,-873.13,"2_?","?"
"83",4900.086,-884.255,"2_?","?"
"84",4881.99,-895.057,"2_?","?"
"85",4863.934,-905.509,"2_?","?"
"86",4845.935,-915.586,"2_?","?"
"87",4828.01,-925.26,"2_?","?"
"88",4810.175,-934.505,"2_?","?"
"89",4792.447,-943.295,"2_?","?"
"90",4774.842,-951.603,"2_?","?"
"91",4757.378,-959.401,"2_?","?"
"92",4757.378,-959.401,"2_?","?"
"93",4739.822,-967.015,"2_?","?"
"94",4721.956,-974.754,"2_?","?"
"95",4703.821,-982.574,"2_?","?"
