"","x","y","ID","SA"
"1",3196.913,5285.729,"2_L2/3","L2/3"
"2",3196.913,4556.133,"2_L2/3","L2/3"
"3",3196.913,4556.133,"2_L2/3","L2/3"
"4",3145.235,4680.408,"2_L2/3","L2/3"
"5",3095.563,4799.151,"2_L2/3","L2/3"
"6",3047.675,4912.614,"2_L2/3","L2/3"
"7",3001.35,5021.051,"2_L2/3","L2/3"
"8",2956.364,5124.714,"2_L2/3","L2/3"
"9",2912.497,5223.855,"2_L2/3","L2/3"
"10",2869.524,5318.727,"2_L2/3","L2/3"
"11",2827.225,5409.583,"2_L2/3","L2/3"
"12",2785.378,5496.676,"2_L2/3","L2/3"
"13",2743.759,5580.257,"2_L2/3","L2/3"
"14",2702.146,5660.58,"2_L2/3","L2/3"
"15",2660.319,5737.897,"2_L2/3","L2/3"
"16",2618.053,5812.461,"2_L2/3","L2/3"
"17",2575.128,5884.524,"2_L2/3","L2/3"
"18",2531.32,5954.34,"2_L2/3","L2/3"
"19",2486.408,6022.16,"2_L2/3","L2/3"
"20",2440.169,6088.237,"2_L2/3","L2/3"
"21",2392.382,6152.824,"2_L2/3","L2/3"
"22",2342.823,6216.174,"2_L2/3","L2/3"
"23",2291.272,6278.538,"2_L2/3","L2/3"
"24",2237.505,6340.171,"2_L2/3","L2/3"
"25",2181.3,6401.324,"2_L2/3","L2/3"
"26",2122.435,6462.25,"2_L2/3","L2/3"
"27",2060.689,6523.201,"2_L2/3","L2/3"
"28",1995.838,6584.431,"2_L2/3","L2/3"
"29",1927.66,6646.191,"2_L2/3","L2/3"
"30",1855.934,6708.735,"2_L2/3","L2/3"
"31",1780.437,6772.315,"2_L2/3","L2/3"
"32",1700.947,6837.183,"2_L2/3","L2/3"
"33",2046.952,6837.183,"2_L2/3","L2/3"
"34",2046.952,6837.183,"2_L2/3","L2/3"
"35",2093.701,6807.393,"2_L2/3","L2/3"
"36",2140.929,6774.092,"2_L2/3","L2/3"
"37",2188.527,6737.481,"2_L2/3","L2/3"
"38",2236.385,6697.763,"2_L2/3","L2/3"
"39",2284.395,6655.14,"2_L2/3","L2/3"
"40",2332.445,6609.813,"2_L2/3","L2/3"
"41",2380.428,6561.985,"2_L2/3","L2/3"
"42",2428.232,6511.857,"2_L2/3","L2/3"
"43",2475.749,6459.632,"2_L2/3","L2/3"
"44",2522.868,6405.512,"2_L2/3","L2/3"
"45",2569.481,6349.698,"2_L2/3","L2/3"
"46",2615.477,6292.392,"2_L2/3","L2/3"
"47",2660.748,6233.797,"2_L2/3","L2/3"
"48",2705.183,6174.115,"2_L2/3","L2/3"
"49",2748.673,6113.547,"2_L2/3","L2/3"
"50",2791.108,6052.296,"2_L2/3","L2/3"
"51",2832.378,5990.563,"2_L2/3","L2/3"
