"","x","y","ID","SA"
"1",3613.057,14606.541,"2_LM","LM"
"2",3613.057,14606.541,"2_LM","LM"
"3",3575.998,14567.625,"2_LM","LM"
"4",3528.923,14520.694,"2_LM","LM"
"5",3472.3,14465.622,"2_LM","LM"
"6",3406.592,14402.282,"2_LM","LM"
"7",3332.267,14330.549,"2_LM","LM"
"8",3249.79,14250.297,"2_LM","LM"
"9",3159.626,14161.399,"2_LM","LM"
"10",3062.241,14063.73,"2_LM","LM"
"11",2958.101,13957.164,"2_LM","LM"
"12",2847.672,13841.575,"2_LM","LM"
"13",2731.418,13716.836,"2_LM","LM"
"14",2609.807,13582.822,"2_LM","LM"
"15",2483.303,13439.407,"2_LM","LM"
"16",2352.373,13286.464,"2_LM","LM"
"17",2217.481,13123.869,"2_LM","LM"
"18",2079.094,12951.494,"2_LM","LM"
"19",1937.678,12769.214,"2_LM","LM"
"20",1793.697,12576.902,"2_LM","LM"
"21",1647.618,12374.434,"2_LM","LM"
"22",1499.907,12161.682,"2_LM","LM"
"23",1351.029,11938.521,"2_LM","LM"
"24",1201.449,11704.824,"2_LM","LM"
"25",1051.634,11460.467,"2_LM","LM"
"26",902.049,11205.322,"2_LM","LM"
"27",753.16,10939.264,"2_LM","LM"
"28",605.432,10662.167,"2_LM","LM"
"29",459.332,10373.905,"2_LM","LM"
"30",315.324,10074.351,"2_LM","LM"
"31",173.875,9763.381,"2_LM","LM"
"32",173.875,9273.623,"2_LM","LM"
"33",173.875,9273.623,"2_LM","LM"
"34",197.634,9313.017,"2_LM","LM"
"35",235.491,9376.522,"2_LM","LM"
"36",286.748,9462.606,"2_LM","LM"
"37",350.705,9569.736,"2_LM","LM"
"38",426.666,9696.381,"2_LM","LM"
"39",513.932,9841.007,"2_LM","LM"
"40",611.804,10002.084,"2_LM","LM"
"41",719.585,10178.078,"2_LM","LM"
"42",836.575,10367.458,"2_LM","LM"
"43",962.078,10568.692,"2_LM","LM"
"44",1095.394,10780.247,"2_LM","LM"
"45",1235.825,11000.591,"2_LM","LM"
"46",1382.673,11228.192,"2_LM","LM"
"47",1535.241,11461.519,"2_LM","LM"
"48",1692.828,11699.037,"2_LM","LM"
"49",1854.738,11939.217,"2_LM","LM"
"50",2020.272,12180.525,"2_LM","LM"
"51",2188.732,12421.43,"2_LM","LM"
"52",2359.42,12660.398,"2_LM","LM"
"53",2531.636,12895.899,"2_LM","LM"
"54",2704.684,13126.399,"2_LM","LM"
"55",2877.865,13350.368,"2_LM","LM"
"56",3050.48,13566.271,"2_LM","LM"
"57",3221.832,13772.579,"2_LM","LM"
"58",3391.221,13967.757,"2_LM","LM"
"59",3557.95,14150.275,"2_LM","LM"
"60",3721.321,14318.599,"2_LM","LM"
"61",3880.636,14471.199,"2_LM","LM"
"62",4035.195,14606.541,"2_LM","LM"
"63",3613.057,14606.541,"2_LM","LM"
"64",3613.057,14606.541,"2_LM","LM"
"65",5847.905,14606.541,"3_L1","L1"
"66",5847.905,14606.541,"3_L1","L1"
"67",5544.815,14442.583,"3_L1","L1"
"68",5253.867,14263.243,"3_L1","L1"
"69",4974.565,14069.376,"3_L1","L1"
"70",4706.412,13861.837,"3_L1","L1"
"71",4448.912,13641.48,"3_L1","L1"
"72",4201.568,13409.16,"3_L1","L1"
"73",3963.883,13165.731,"3_L1","L1"
"74",3735.362,12912.048,"3_L1","L1"
"75",3515.507,12648.966,"3_L1","L1"
"76",3303.823,12377.339,"3_L1","L1"
"77",3099.812,12098.023,"3_L1","L1"
"78",2902.979,11811.87,"3_L1","L1"
"79",2712.827,11519.738,"3_L1","L1"
"80",2528.859,11222.478,"3_L1","L1"
"81",2350.579,10920.948,"3_L1","L1"
"82",2177.49,10616,"3_L1","L1"
"83",2009.097,10308.49,"3_L1","L1"
"84",1844.902,9999.273,"3_L1","L1"
"85",1684.409,9689.203,"3_L1","L1"
"86",1527.122,9379.134,"3_L1","L1"
"87",1372.544,9069.922,"3_L1","L1"
"88",1220.179,8762.42,"3_L1","L1"
"89",1069.53,8457.484,"3_L1","L1"
"90",920.101,8155.968,"3_L1","L1"
"91",771.395,7858.727,"3_L1","L1"
"92",622.916,7566.615,"3_L1","L1"
"93",474.167,7280.488,"3_L1","L1"
"94",324.652,7001.199,"3_L1","L1"
"95",173.875,6729.603,"3_L1","L1"
"96",173.875,6729.603,"3_L1","L1"
"97",173.875,6716.52,"3_L1","L1"
"98",173.875,6723.415,"3_L1","L1"
"99",173.875,6748.869,"3_L1","L1"
"100",173.875,6791.46,"3_L1","L1"
"101",173.875,6849.771,"3_L1","L1"
"102",173.875,6922.38,"3_L1","L1"
"103",173.875,7007.869,"3_L1","L1"
"104",173.875,7104.817,"3_L1","L1"
"105",173.875,7211.806,"3_L1","L1"
"106",173.875,7327.414,"3_L1","L1"
"107",173.875,7450.223,"3_L1","L1"
"108",173.875,7578.813,"3_L1","L1"
"109",173.875,7711.764,"3_L1","L1"
"110",173.875,7847.657,"3_L1","L1"
"111",173.875,7985.071,"3_L1","L1"
"112",173.875,8122.588,"3_L1","L1"
"113",173.875,8258.786,"3_L1","L1"
"114",173.875,8392.248,"3_L1","L1"
"115",173.875,8521.552,"3_L1","L1"
"116",173.875,8645.279,"3_L1","L1"
"117",173.875,8762.01,"3_L1","L1"
"118",173.875,8870.325,"3_L1","L1"
"119",173.875,8968.804,"3_L1","L1"
"120",173.875,9056.028,"3_L1","L1"
"121",173.875,9130.576,"3_L1","L1"
"122",173.875,9191.03,"3_L1","L1"
"123",173.875,9235.968,"3_L1","L1"
"124",173.875,9263.973,"3_L1","L1"
"125",173.875,9273.623,"3_L1","L1"
"126",173.875,9273.623,"3_L1","L1"
"127",197.634,9313.017,"3_L1","L1"
"128",235.491,9376.522,"3_L1","L1"
"129",286.748,9462.606,"3_L1","L1"
"130",350.705,9569.736,"3_L1","L1"
"131",426.666,9696.381,"3_L1","L1"
"132",513.932,9841.007,"3_L1","L1"
"133",611.804,10002.084,"3_L1","L1"
"134",719.585,10178.078,"3_L1","L1"
"135",836.575,10367.458,"3_L1","L1"
"136",962.078,10568.692,"3_L1","L1"
"137",1095.394,10780.247,"3_L1","L1"
"138",1235.825,11000.591,"3_L1","L1"
"139",1382.673,11228.192,"3_L1","L1"
"140",1535.241,11461.519,"3_L1","L1"
"141",1692.828,11699.037,"3_L1","L1"
"142",1854.738,11939.217,"3_L1","L1"
"143",2020.272,12180.525,"3_L1","L1"
"144",2188.732,12421.43,"3_L1","L1"
"145",2359.42,12660.398,"3_L1","L1"
"146",2531.636,12895.899,"3_L1","L1"
"147",2704.684,13126.399,"3_L1","L1"
"148",2877.865,13350.368,"3_L1","L1"
"149",3050.48,13566.271,"3_L1","L1"
"150",3221.832,13772.579,"3_L1","L1"
"151",3391.221,13967.757,"3_L1","L1"
"152",3557.95,14150.275,"3_L1","L1"
"153",3721.321,14318.599,"3_L1","L1"
"154",3880.636,14471.199,"3_L1","L1"
"155",4035.195,14606.541,"3_L1","L1"
"156",4035.195,14606.541,"3_L1","L1"
"157",4029.518,14606.541,"3_L1","L1"
"158",4037.564,14606.541,"3_L1","L1"
"159",4058.35,14606.541,"3_L1","L1"
"160",4090.892,14606.541,"3_L1","L1"
"161",4134.207,14606.541,"3_L1","L1"
"162",4187.311,14606.541,"3_L1","L1"
"163",4249.22,14606.541,"3_L1","L1"
"164",4318.95,14606.541,"3_L1","L1"
"165",4395.518,14606.541,"3_L1","L1"
"166",4477.94,14606.541,"3_L1","L1"
"167",4565.232,14606.541,"3_L1","L1"
"168",4656.411,14606.541,"3_L1","L1"
"169",4750.493,14606.541,"3_L1","L1"
"170",4846.494,14606.541,"3_L1","L1"
"171",4943.43,14606.541,"3_L1","L1"
"172",5040.319,14606.541,"3_L1","L1"
"173",5136.175,14606.541,"3_L1","L1"
"174",5230.017,14606.541,"3_L1","L1"
"175",5320.858,14606.541,"3_L1","L1"
"176",5407.717,14606.541,"3_L1","L1"
"177",5489.609,14606.541,"3_L1","L1"
"178",5565.551,14606.541,"3_L1","L1"
"179",5634.559,14606.541,"3_L1","L1"
"180",5695.649,14606.541,"3_L1","L1"
"181",5747.838,14606.541,"3_L1","L1"
"182",5790.142,14606.541,"3_L1","L1"
"183",5821.576,14606.541,"3_L1","L1"
"184",5841.159,14606.541,"3_L1","L1"
"185",5847.905,14606.541,"3_L1","L1"
"186",5847.905,14606.541,"3_L1","L1"
"187",5847.905,14606.541,"4_L2/3","L2/3"
"188",5847.905,14606.541,"4_L2/3","L2/3"
"189",5544.815,14442.583,"4_L2/3","L2/3"
"190",5253.867,14263.243,"4_L2/3","L2/3"
"191",4974.565,14069.376,"4_L2/3","L2/3"
"192",4706.412,13861.837,"4_L2/3","L2/3"
"193",4448.912,13641.48,"4_L2/3","L2/3"
"194",4201.568,13409.16,"4_L2/3","L2/3"
"195",3963.883,13165.731,"4_L2/3","L2/3"
"196",3735.362,12912.048,"4_L2/3","L2/3"
"197",3515.507,12648.966,"4_L2/3","L2/3"
"198",3303.823,12377.339,"4_L2/3","L2/3"
"199",3099.812,12098.023,"4_L2/3","L2/3"
"200",2902.979,11811.87,"4_L2/3","L2/3"
"201",2712.827,11519.738,"4_L2/3","L2/3"
"202",2528.859,11222.478,"4_L2/3","L2/3"
"203",2350.579,10920.948,"4_L2/3","L2/3"
"204",2177.49,10616,"4_L2/3","L2/3"
"205",2009.097,10308.49,"4_L2/3","L2/3"
"206",1844.902,9999.273,"4_L2/3","L2/3"
"207",1684.409,9689.203,"4_L2/3","L2/3"
"208",1527.122,9379.134,"4_L2/3","L2/3"
"209",1372.544,9069.922,"4_L2/3","L2/3"
"210",1220.179,8762.42,"4_L2/3","L2/3"
"211",1069.53,8457.484,"4_L2/3","L2/3"
"212",920.101,8155.968,"4_L2/3","L2/3"
"213",771.395,7858.727,"4_L2/3","L2/3"
"214",622.916,7566.615,"4_L2/3","L2/3"
"215",474.167,7280.488,"4_L2/3","L2/3"
"216",324.652,7001.199,"4_L2/3","L2/3"
"217",173.875,6729.603,"4_L2/3","L2/3"
"218",173.875,6729.603,"4_L2/3","L2/3"
"219",173.875,6699.296,"4_L2/3","L2/3"
"220",173.875,6640.669,"4_L2/3","L2/3"
"221",173.875,6555.315,"4_L2/3","L2/3"
"222",173.875,6444.826,"4_L2/3","L2/3"
"223",173.875,6310.795,"4_L2/3","L2/3"
"224",173.875,6154.814,"4_L2/3","L2/3"
"225",173.875,5978.477,"4_L2/3","L2/3"
"226",173.875,5783.375,"4_L2/3","L2/3"
"227",173.875,5571.102,"4_L2/3","L2/3"
"228",173.875,5343.25,"4_L2/3","L2/3"
"229",173.875,5101.412,"4_L2/3","L2/3"
"230",173.875,4847.18,"4_L2/3","L2/3"
"231",173.875,4582.147,"4_L2/3","L2/3"
"232",173.875,4307.906,"4_L2/3","L2/3"
"233",173.875,4026.049,"4_L2/3","L2/3"
"234",173.875,3738.169,"4_L2/3","L2/3"
"235",173.875,3445.859,"4_L2/3","L2/3"
"236",173.875,3150.711,"4_L2/3","L2/3"
"237",173.875,2854.318,"4_L2/3","L2/3"
"238",173.875,2558.273,"4_L2/3","L2/3"
"239",173.875,2264.168,"4_L2/3","L2/3"
"240",173.875,1973.595,"4_L2/3","L2/3"
"241",173.875,1688.148,"4_L2/3","L2/3"
"242",173.875,1409.42,"4_L2/3","L2/3"
"243",173.875,1139.002,"4_L2/3","L2/3"
"244",173.875,878.487,"4_L2/3","L2/3"
"245",173.875,629.469,"4_L2/3","L2/3"
