"","x","y","ID","SA"
"1",18021.666,21069.031,"2_L1","L1"
"2",18021.666,17914.925,"2_L1","L1"
"3",18021.666,17914.925,"2_L1","L1"
"4",17485.769,17924.952,"2_L1","L1"
"5",16940.963,17936.553,"2_L1","L1"
"6",16387.593,17949.388,"2_L1","L1"
"7",15826.003,17963.118,"2_L1","L1"
"8",15256.54,17977.401,"2_L1","L1"
"9",14679.548,17991.898,"2_L1","L1"
"10",14095.372,18006.269,"2_L1","L1"
"11",13504.357,18020.175,"2_L1","L1"
"12",12906.848,18033.275,"2_L1","L1"
"13",12303.19,18045.23,"2_L1","L1"
"14",11693.729,18055.699,"2_L1","L1"
"15",11078.809,18064.343,"2_L1","L1"
"16",10458.775,18070.821,"2_L1","L1"
"17",9833.973,18074.794,"2_L1","L1"
"18",9204.748,18075.922,"2_L1","L1"
"19",8571.444,18073.865,"2_L1","L1"
"20",7934.406,18068.282,"2_L1","L1"
"21",7293.981,18058.835,"2_L1","L1"
"22",6650.512,18045.183,"2_L1","L1"
"23",6004.345,18026.985,"2_L1","L1"
"24",5355.824,18003.903,"2_L1","L1"
"25",4705.296,17975.597,"2_L1","L1"
"26",4053.104,17941.725,"2_L1","L1"
"27",3399.595,17901.949,"2_L1","L1"
"28",2745.112,17855.929,"2_L1","L1"
"29",2090.002,17803.324,"2_L1","L1"
"30",1434.608,17743.794,"2_L1","L1"
"31",779.277,17677.001,"2_L1","L1"
"32",124.353,17602.603,"2_L1","L1"
"33",124.353,21069.031,"2_L1","L1"
"34",124.353,21069.031,"2_L1","L1"
"35",607.616,21068.132,"2_L1","L1"
"36",1135.293,21067.34,"2_L1","L1"
"37",1703.512,21066.649,"2_L1","L1"
"38",2308.402,21066.055,"2_L1","L1"
"39",2946.09,21065.553,"2_L1","L1"
"40",3612.703,21065.14,"2_L1","L1"
"41",4304.369,21064.809,"2_L1","L1"
"42",5017.216,21064.556,"2_L1","L1"
"43",5747.37,21064.377,"2_L1","L1"
"44",6490.961,21064.267,"2_L1","L1"
"45",7244.114,21064.221,"2_L1","L1"
"46",8002.959,21064.235,"2_L1","L1"
"47",8763.622,21064.303,"2_L1","L1"
"48",9522.232,21064.422,"2_L1","L1"
"49",10274.915,21064.586,"2_L1","L1"
"50",11017.799,21064.791,"2_L1","L1"
"51",11747.012,21065.032,"2_L1","L1"
"52",12458.682,21065.304,"2_L1","L1"
"53",13148.935,21065.603,"2_L1","L1"
"54",13813.901,21065.924,"2_L1","L1"
"55",14449.705,21066.263,"2_L1","L1"
"56",15052.477,21066.614,"2_L1","L1"
"57",15618.343,21066.973,"2_L1","L1"
"58",16143.431,21067.335,"2_L1","L1"
"59",16623.868,21067.696,"2_L1","L1"
"60",17055.783,21068.051,"2_L1","L1"
"61",17435.302,21068.395,"2_L1","L1"
"62",17758.554,21068.723,"2_L1","L1"
"63",18021.666,21069.031,"2_L1","L1"
"64",18021.666,21069.031,"2_L1","L1"
"65",18021.666,13746.212,"3_L2/3","L2/3"
"66",18021.666,17914.925,"3_L2/3","L2/3"
"67",18021.666,17914.925,"3_L2/3","L2/3"
"68",17485.769,17924.952,"3_L2/3","L2/3"
"69",16940.963,17936.553,"3_L2/3","L2/3"
"70",16387.593,17949.388,"3_L2/3","L2/3"
"71",15826.003,17963.118,"3_L2/3","L2/3"
"72",15256.54,17977.401,"3_L2/3","L2/3"
