"","x","y","ID","SA"
"1",23895.586,36009.294,"2_LM","LM"
"2",23895.586,37111.938,"2_LM","LM"
"3",23895.586,37111.938,"2_LM","LM"
"4",23057.814,37650.349,"2_LM","LM"
"5",22254.496,38180.122,"2_LM","LM"
"6",21480.404,38701.355,"2_LM","LM"
"7",20730.309,39214.149,"2_LM","LM"
"8",19998.983,39718.604,"2_LM","LM"
"9",19281.199,40214.82,"2_LM","LM"
"10",18571.729,40702.896,"2_LM","LM"
"11",17865.343,41182.933,"2_LM","LM"
"12",17156.815,41655.029,"2_LM","LM"
"13",16440.917,42119.286,"2_LM","LM"
"14",15712.419,42575.803,"2_LM","LM"
"15",14966.095,43024.679,"2_LM","LM"
"16",14196.715,43466.014,"2_LM","LM"
"17",13399.053,43899.909,"2_LM","LM"
"18",12567.879,44326.463,"2_LM","LM"
"19",11697.967,44745.776,"2_LM","LM"
"20",10784.087,45157.948,"2_LM","LM"
"21",9821.012,45563.078,"2_LM","LM"
"22",8803.514,45961.267,"2_LM","LM"
"23",7726.365,46352.614,"2_LM","LM"
"24",6584.336,46737.22,"2_LM","LM"
"25",5372.2,47115.183,"2_LM","LM"
"26",4084.729,47486.604,"2_LM","LM"
"27",2716.694,47851.583,"2_LM","LM"
"28",1262.867,48210.219,"2_LM","LM"
"29",-281.979,48562.612,"2_LM","LM"
"30",-1923.072,48908.863,"2_LM","LM"
"31",-3665.642,49249.07,"2_LM","LM"
"32",-5514.915,49583.335,"2_LM","LM"
"33",-6565.455,49626.19,"2_LM","LM"
"34",-6565.455,49302.755,"2_LM","LM"
"35",-6565.455,49302.755,"2_LM","LM"
"36",-6264.547,49246.395,"2_LM","LM"
"37",-5914.603,49177.29,"2_LM","LM"
"38",-5518.425,49095.772,"2_LM","LM"
"39",-5078.814,49002.172,"2_LM","LM"
"40",-4598.571,48896.822,"2_LM","LM"
"41",-4080.496,48780.055,"2_LM","LM"
"42",-3527.391,48652.201,"2_LM","LM"
"43",-2942.057,48513.594,"2_LM","LM"
"44",-2327.295,48364.565,"2_LM","LM"
"45",-1685.907,48205.445,"2_LM","LM"
"46",-1020.692,48036.568,"2_LM","LM"
"47",-334.453,47858.264,"2_LM","LM"
"48",370.01,47670.866,"2_LM","LM"
"49",1089.896,47474.705,"2_LM","LM"
"50",1822.403,47270.114,"2_LM","LM"
"51",2564.73,47057.425,"2_LM","LM"
"52",3314.077,46836.968,"2_LM","LM"
"53",4067.642,46609.077,"2_LM","LM"
"54",4822.625,46374.083,"2_LM","LM"
