"","x","y","ID","SA"
"1",-2.702,-1.273,"2_LM","LM"
"2",-2.702,-1.329,"2_LM","LM"
"3",-2.702,-1.329,"2_LM","LM"
"4",-2.667,-1.364,"2_LM","LM"
"5",-2.633,-1.399,"2_LM","LM"
"6",-2.599,-1.432,"2_LM","LM"
"7",-2.566,-1.465,"2_LM","LM"
"8",-2.533,-1.496,"2_LM","LM"
"9",-2.501,-1.527,"2_LM","LM"
"10",-2.468,-1.557,"2_LM","LM"
"11",-2.435,-1.586,"2_LM","LM"
"12",-2.401,-1.614,"2_LM","LM"
"13",-2.367,-1.641,"2_LM","LM"
"14",-2.332,-1.668,"2_LM","LM"
"15",-2.295,-1.694,"2_LM","LM"
"16",-2.257,-1.72,"2_LM","LM"
"17",-2.218,-1.745,"2_LM","LM"
"18",-2.176,-1.77,"2_LM","LM"
"19",-2.133,-1.794,"2_LM","LM"
"20",-2.087,-1.818,"2_LM","LM"
"21",-2.038,-1.842,"2_LM","LM"
"22",-1.987,-1.866,"2_LM","LM"
"23",-1.933,-1.889,"2_LM","LM"
"24",-1.876,-1.912,"2_LM","LM"
"25",-1.816,-1.936,"2_LM","LM"
"26",-1.752,-1.959,"2_LM","LM"
"27",-1.684,-1.982,"2_LM","LM"
"28",-1.612,-2.005,"2_LM","LM"
"29",-1.536,-2.029,"2_LM","LM"
"30",-1.455,-2.053,"2_LM","LM"
"31",-1.37,-2.077,"2_LM","LM"
"32",-1.28,-2.101,"2_LM","LM"
"33",-1.176,-2.104,"2_LM","LM"
"34",-1.176,-2.104,"2_LM","LM"
"35",-1.191,-2.099,"2_LM","LM"
"36",-1.208,-2.094,"2_LM","LM"
"37",-1.228,-2.088,"2_LM","LM"
"38",-1.251,-2.081,"2_LM","LM"
"39",-1.276,-2.074,"2_LM","LM"
"40",-1.303,-2.065,"2_LM","LM"
"41",-1.331,-2.057,"2_LM","LM"
"42",-1.362,-2.047,"2_LM","LM"
"43",-1.394,-2.037,"2_LM","LM"
"44",-1.428,-2.026,"2_LM","LM"
"45",-1.463,-2.015,"2_LM","LM"
"46",-1.499,-2.004,"2_LM","LM"
"47",-1.536,-1.992,"2_LM","LM"
"48",-1.574,-1.979,"2_LM","LM"
"49",-1.613,-1.966,"2_LM","LM"
"50",-1.652,-1.952,"2_LM","LM"
"51",-1.691,-1.938,"2_LM","LM"
"52",-1.731,-1.924,"2_LM","LM"
"53",-1.77,-1.91,"2_LM","LM"
"54",-1.81,-1.895,"2_LM","LM"
"55",-1.849,-1.88,"2_LM","LM"
"56",-1.887,-1.864,"2_LM","LM"
"57",-1.925,-1.848,"2_LM","LM"
"58",-1.962,-1.833,"2_LM","LM"
"59",-1.998,-1.816,"2_LM","LM"
"60",-2.033,-1.8,"2_LM","LM"
"61",-2.067,-1.784,"2_LM","LM"
"62",-2.099,-1.767,"2_LM","LM"
"63",-2.129,-1.751,"2_LM","LM"
"64",-2.129,-1.751,"2_LM","LM"
"65",-2.144,-1.742,"2_LM","LM"
"66",-2.159,-1.733,"2_LM","LM"
"67",-2.175,-1.722,"2_LM","LM"
"68",-2.192,-1.711,"2_LM","LM"
"69",-2.21,-1.698,"2_LM","LM"
"70",-2.229,-1.684,"2_LM","LM"
"71",-2.248,-1.67,"2_LM","LM"
"72",-2.268,-1.655,"2_LM","LM"
"73",-2.289,-1.639,"2_LM","LM"
"74",-2.309,-1.622,"2_LM","LM"
"75",-2.331,-1.605,"2_LM","LM"
"76",-2.352,-1.588,"2_LM","LM"
"77",-2.374,-1.57,"2_LM","LM"
"78",-2.396,-1.551,"2_LM","LM"
"79",-2.418,-1.532,"2_LM","LM"
"80",-2.441,-1.513,"2_LM","LM"
"81",-2.463,-1.494,"2_LM","LM"
"82",-2.485,-1.475,"2_LM","LM"
"83",-2.507,-1.455,"2_LM","LM"
"84",-2.528,-1.436,"2_LM","LM"
"85",-2.55,-1.417,"2_LM","LM"
"86",-2.571,-1.398,"2_LM","LM"
"87",-2.591,-1.379,"2_LM","LM"
"88",-2.612,-1.36,"2_LM","LM"
"89",-2.631,-1.342,"2_LM","LM"
"90",-2.65,-1.324,"2_LM","LM"
"91",-2.668,-1.306,"2_LM","LM"
"92",-2.686,-1.289,"2_LM","LM"
"93",-2.702,-1.273,"2_LM","LM"
"94",-2.702,-1.273,"2_LM","LM"
"95",-2.702,-1.273,"3_L1","L1"
"96",-2.702,-1.158,"3_L1","L1"
"97",-2.702,-1.158,"3_L1","L1"
"98",-2.682,-1.178,"3_L1","L1"
"99",-2.663,-1.198,"3_L1","L1"
"100",-2.644,-1.217,"3_L1","L1"
"101",-2.625,-1.236,"3_L1","L1"
"102",-2.606,-1.254,"3_L1","L1"
"103",-2.588,-1.273,"3_L1","L1"
"104",-2.569,-1.291,"3_L1","L1"
"105",-2.55,-1.309,"3_L1","L1"
"106",-2.532,-1.326,"3_L1","L1"
"107",-2.513,-1.344,"3_L1","L1"
"108",-2.494,-1.361,"3_L1","L1"
"109",-2.475,-1.378,"3_L1","L1"
"110",-2.455,-1.395,"3_L1","L1"
"111",-2.436,-1.412,"3_L1","L1"
"112",-2.416,-1.429,"3_L1","L1"
"113",-2.395,-1.446,"3_L1","L1"
"114",-2.374,-1.463,"3_L1","L1"
"115",-2.353,-1.479,"3_L1","L1"
"116",-2.331,-1.496,"3_L1","L1"
"117",-2.308,-1.513,"3_L1","L1"
"118",-2.285,-1.53,"3_L1","L1"
"119",-2.261,-1.547,"3_L1","L1"
"120",-2.236,-1.564,"3_L1","L1"
"121",-2.21,-1.581,"3_L1","L1"
"122",-2.184,-1.598,"3_L1","L1"
"123",-2.156,-1.616,"3_L1","L1"
"124",-2.128,-1.633,"3_L1","L1"
"125",-2.098,-1.651,"3_L1","L1"
"126",-2.068,-1.669,"3_L1","L1"
"127",-2.068,-1.669,"3_L1","L1"
"128",-2.042,-1.684,"3_L1","L1"
"129",-2.014,-1.7,"3_L1","L1"
"130",-1.985,-1.716,"3_L1","L1"
"131",-1.954,-1.732,"3_L1","L1"
"132",-1.921,-1.748,"3_L1","L1"
"133",-1.887,-1.765,"3_L1","L1"
"134",-1.85,-1.782,"3_L1","L1"
"135",-1.812,-1.798,"3_L1","L1"
"136",-1.772,-1.815,"3_L1","L1"
"137",-1.73,-1.832,"3_L1","L1"
"138",-1.687,-1.848,"3_L1","L1"
"139",-1.641,-1.864,"3_L1","L1"
"140",-1.593,-1.879,"3_L1","L1"
"141",-1.544,-1.894,"3_L1","L1"
"142",-1.493,-1.908,"3_L1","L1"
"143",-1.439,-1.921,"3_L1","L1"
"144",-1.384,-1.934,"3_L1","L1"
"145",-1.326,-1.946,"3_L1","L1"
"146",-1.267,-1.957,"3_L1","L1"
"147",-1.205,-1.966,"3_L1","L1"
"148",-1.142,-1.975,"3_L1","L1"
"149",-1.076,-1.982,"3_L1","L1"
"150",-1.008,-1.988,"3_L1","L1"
"151",-0.938,-1.993,"3_L1","L1"
"152",-0.866,-1.996,"3_L1","L1"
"153",-0.792,-1.998,"3_L1","L1"
"154",-0.715,-1.997,"3_L1","L1"
"155",-0.636,-1.995,"3_L1","L1"
"156",-0.555,-1.992,"3_L1","L1"
"157",-0.555,-2.104,"3_L1","L1"
"158",-1.176,-2.104,"3_L1","L1"
"159",-1.176,-2.104,"3_L1","L1"
"160",-1.191,-2.099,"3_L1","L1"
"161",-1.208,-2.094,"3_L1","L1"
"162",-1.228,-2.088,"3_L1","L1"
"163",-1.251,-2.081,"3_L1","L1"
"164",-1.276,-2.074,"3_L1","L1"
"165",-1.303,-2.065,"3_L1","L1"
"166",-1.331,-2.057,"3_L1","L1"
"167",-1.362,-2.047,"3_L1","L1"
"168",-1.394,-2.037,"3_L1","L1"
"169",-1.428,-2.026,"3_L1","L1"
"170",-1.463,-2.015,"3_L1","L1"
"171",-1.499,-2.004,"3_L1","L1"
"172",-1.536,-1.992,"3_L1","L1"
"173",-1.574,-1.979,"3_L1","L1"
"174",-1.613,-1.966,"3_L1","L1"
"175",-1.652,-1.952,"3_L1","L1"
"176",-1.691,-1.938,"3_L1","L1"
"177",-1.731,-1.924,"3_L1","L1"
"178",-1.77,-1.91,"3_L1","L1"
"179",-1.81,-1.895,"3_L1","L1"
"180",-1.849,-1.88,"3_L1","L1"
"181",-1.887,-1.864,"3_L1","L1"
"182",-1.925,-1.848,"3_L1","L1"
"183",-1.962,-1.833,"3_L1","L1"
"184",-1.998,-1.816,"3_L1","L1"
"185",-2.033,-1.8,"3_L1","L1"
"186",-2.067,-1.784,"3_L1","L1"
"187",-2.099,-1.767,"3_L1","L1"
"188",-2.129,-1.751,"3_L1","L1"
"189",-2.129,-1.751,"3_L1","L1"
"190",-2.144,-1.742,"3_L1","L1"
"191",-2.159,-1.733,"3_L1","L1"
"192",-2.175,-1.722,"3_L1","L1"
"193",-2.192,-1.711,"3_L1","L1"
"194",-2.21,-1.698,"3_L1","L1"
"195",-2.229,-1.684,"3_L1","L1"
"196",-2.248,-1.67,"3_L1","L1"
"197",-2.268,-1.655,"3_L1","L1"
"198",-2.289,-1.639,"3_L1","L1"
"199",-2.309,-1.622,"3_L1","L1"
"200",-2.331,-1.605,"3_L1","L1"
"201",-2.352,-1.588,"3_L1","L1"
"202",-2.374,-1.57,"3_L1","L1"
"203",-2.396,-1.551,"3_L1","L1"
"204",-2.418,-1.532,"3_L1","L1"
"205",-2.441,-1.513,"3_L1","L1"
"206",-2.463,-1.494,"3_L1","L1"
"207",-2.485,-1.475,"3_L1","L1"
"208",-2.507,-1.455,"3_L1","L1"
"209",-2.528,-1.436,"3_L1","L1"
"210",-2.55,-1.417,"3_L1","L1"
"211",-2.571,-1.398,"3_L1","L1"
"212",-2.591,-1.379,"3_L1","L1"
"213",-2.612,-1.36,"3_L1","L1"
"214",-2.631,-1.342,"3_L1","L1"
"215",-2.65,-1.324,"3_L1","L1"
"216",-2.668,-1.306,"3_L1","L1"
"217",-2.686,-1.289,"3_L1","L1"
"218",-2.702,-1.273,"3_L1","L1"
"219",-2.702,-1.273,"3_L1","L1"
"220",-2.702,-0.807,"4_L2/3","L2/3"
"221",-2.702,-1.158,"4_L2/3","L2/3"
"222",-2.702,-1.158,"4_L2/3","L2/3"
"223",-2.682,-1.178,"4_L2/3","L2/3"
"224",-2.663,-1.198,"4_L2/3","L2/3"
"225",-2.644,-1.217,"4_L2/3","L2/3"
"226",-2.625,-1.236,"4_L2/3","L2/3"
"227",-2.606,-1.254,"4_L2/3","L2/3"
"228",-2.588,-1.273,"4_L2/3","L2/3"
"229",-2.569,-1.291,"4_L2/3","L2/3"
"230",-2.55,-1.309,"4_L2/3","L2/3"
"231",-2.532,-1.326,"4_L2/3","L2/3"
"232",-2.513,-1.344,"4_L2/3","L2/3"
"233",-2.494,-1.361,"4_L2/3","L2/3"
"234",-2.475,-1.378,"4_L2/3","L2/3"
"235",-2.455,-1.395,"4_L2/3","L2/3"
"236",-2.436,-1.412,"4_L2/3","L2/3"
"237",-2.416,-1.429,"4_L2/3","L2/3"
"238",-2.395,-1.446,"4_L2/3","L2/3"
"239",-2.374,-1.463,"4_L2/3","L2/3"
"240",-2.353,-1.479,"4_L2/3","L2/3"
"241",-2.331,-1.496,"4_L2/3","L2/3"
"242",-2.308,-1.513,"4_L2/3","L2/3"
"243",-2.285,-1.53,"4_L2/3","L2/3"
"244",-2.261,-1.547,"4_L2/3","L2/3"
"245",-2.236,-1.564,"4_L2/3","L2/3"
"246",-2.21,-1.581,"4_L2/3","L2/3"
"247",-2.184,-1.598,"4_L2/3","L2/3"
"248",-2.156,-1.616,"4_L2/3","L2/3"
"249",-2.128,-1.633,"4_L2/3","L2/3"
"250",-2.098,-1.651,"4_L2/3","L2/3"
"251",-2.068,-1.669,"4_L2/3","L2/3"
"252",-2.068,-1.669,"4_L2/3","L2/3"
"253",-2.042,-1.684,"4_L2/3","L2/3"
"254",-2.015,-1.7,"4_L2/3","L2/3"
"255",-1.986,-1.715,"4_L2/3","L2/3"
"256",-1.956,-1.732,"4_L2/3","L2/3"
"257",-1.924,-1.748,"4_L2/3","L2/3"
"258",-1.89,-1.765,"4_L2/3","L2/3"
"259",-1.855,-1.781,"4_L2/3","L2/3"
"260",-1.818,-1.798,"4_L2/3","L2/3"
"261",-1.779,-1.815,"4_L2/3","L2/3"
"262",-1.739,-1.831,"4_L2/3","L2/3"
"263",-1.696,-1.847,"4_L2/3","L2/3"
"264",-1.652,-1.863,"4_L2/3","L2/3"
"265",-1.605,-1.878,"4_L2/3","L2/3"
"266",-1.557,-1.893,"4_L2/3","L2/3"
"267",-1.506,-1.907,"4_L2/3","L2/3"
"268",-1.454,-1.921,"4_L2/3","L2/3"
"269",-1.399,-1.933,"4_L2/3","L2/3"
"270",-1.342,-1.945,"4_L2/3","L2/3"
"271",-1.283,-1.956,"4_L2/3","L2/3"
"272",-1.221,-1.965,"4_L2/3","L2/3"
"273",-1.157,-1.974,"4_L2/3","L2/3"
"274",-1.091,-1.981,"4_L2/3","L2/3"
"275",-1.022,-1.988,"4_L2/3","L2/3"
"276",-0.951,-1.992,"4_L2/3","L2/3"
"277",-0.877,-1.995,"4_L2/3","L2/3"
"278",-0.801,-1.997,"4_L2/3","L2/3"
"279",-0.721,-1.997,"4_L2/3","L2/3"
"280",-0.64,-1.995,"4_L2/3","L2/3"
"281",-0.555,-1.992,"4_L2/3","L2/3"
"282",-0.555,-1.831,"4_L2/3","L2/3"
"283",-0.555,-1.831,"4_L2/3","L2/3"
"284",-0.616,-1.831,"4_L2/3","L2/3"
"285",-0.673,-1.83,"4_L2/3","L2/3"
"286",-0.727,-1.828,"4_L2/3","L2/3"
"287",-0.779,-1.825,"4_L2/3","L2/3"
"288",-0.828,-1.821,"4_L2/3","L2/3"
"289",-0.874,-1.816,"4_L2/3","L2/3"
"290",-0.919,-1.81,"4_L2/3","L2/3"
"291",-0.961,-1.804,"4_L2/3","L2/3"
"292",-1.001,-1.797,"4_L2/3","L2/3"
"293",-1.04,-1.789,"4_L2/3","L2/3"
"294",-1.076,-1.781,"4_L2/3","L2/3"
"295",-1.112,-1.772,"4_L2/3","L2/3"
"296",-1.146,-1.763,"4_L2/3","L2/3"
"297",-1.178,-1.753,"4_L2/3","L2/3"
"298",-1.21,-1.744,"4_L2/3","L2/3"
"299",-1.241,-1.734,"4_L2/3","L2/3"
"300",-1.271,-1.724,"4_L2/3","L2/3"
"301",-1.3,-1.713,"4_L2/3","L2/3"
"302",-1.329,-1.703,"4_L2/3","L2/3"
"303",-1.358,-1.693,"4_L2/3","L2/3"
"304",-1.387,-1.683,"4_L2/3","L2/3"
"305",-1.415,-1.673,"4_L2/3","L2/3"
"306",-1.444,-1.664,"4_L2/3","L2/3"
"307",-1.473,-1.655,"4_L2/3","L2/3"
"308",-1.503,-1.646,"4_L2/3","L2/3"
"309",-1.533,-1.638,"4_L2/3","L2/3"
"310",-1.564,-1.63,"4_L2/3","L2/3"
"311",-1.596,-1.622,"4_L2/3","L2/3"
"312",-1.629,-1.616,"4_L2/3","L2/3"
"313",-1.629,-1.616,"4_L2/3","L2/3"
"314",-1.669,-1.607,"4_L2/3","L2/3"
"315",-1.709,-1.596,"4_L2/3","L2/3"
"316",-1.75,-1.582,"4_L2/3","L2/3"
"317",-1.791,-1.567,"4_L2/3","L2/3"
"318",-1.832,-1.549,"4_L2/3","L2/3"
"319",-1.873,-1.529,"4_L2/3","L2/3"
"320",-1.914,-1.507,"4_L2/3","L2/3"
"321",-1.955,-1.484,"4_L2/3","L2/3"
"322",-1.995,-1.459,"4_L2/3","L2/3"
"323",-2.036,-1.432,"4_L2/3","L2/3"
"324",-2.077,-1.405,"4_L2/3","L2/3"
"325",-2.117,-1.375,"4_L2/3","L2/3"
"326",-2.157,-1.345,"4_L2/3","L2/3"
"327",-2.196,-1.314,"4_L2/3","L2/3"
"328",-2.235,-1.282,"4_L2/3","L2/3"
"329",-2.274,-1.249,"4_L2/3","L2/3"
"330",-2.312,-1.215,"4_L2/3","L2/3"
"331",-2.349,-1.181,"4_L2/3","L2/3"
"332",-2.385,-1.147,"4_L2/3","L2/3"
"333",-2.421,-1.112,"4_L2/3","L2/3"
"334",-2.457,-1.077,"4_L2/3","L2/3"
"335",-2.491,-1.042,"4_L2/3","L2/3"
"336",-2.524,-1.008,"4_L2/3","L2/3"
"337",-2.557,-0.973,"4_L2/3","L2/3"
"338",-2.588,-0.939,"4_L2/3","L2/3"
"339",-2.618,-0.905,"4_L2/3","L2/3"
"340",-2.647,-0.872,"4_L2/3","L2/3"
"341",-2.675,-0.839,"4_L2/3","L2/3"
"342",-2.702,-0.807,"4_L2/3","L2/3"
"343",-2.702,-0.807,"4_L2/3","L2/3"
"344",-2.702,-0.807,"5_L4","L4"
"345",-2.702,-0.471,"5_L4","L4"
"346",-2.702,-0.471,"5_L4","L4"
"347",-2.692,-0.499,"5_L4","L4"
"348",-2.678,-0.53,"5_L4","L4"
"349",-2.66,-0.563,"5_L4","L4"
"350",-2.638,-0.598,"5_L4","L4"
"351",-2.613,-0.634,"5_L4","L4"
"352",-2.584,-0.671,"5_L4","L4"
"353",-2.552,-0.709,"5_L4","L4"
"354",-2.517,-0.748,"5_L4","L4"
"355",-2.48,-0.788,"5_L4","L4"
"356",-2.441,-0.828,"5_L4","L4"
"357",-2.399,-0.868,"5_L4","L4"
"358",-2.355,-0.909,"5_L4","L4"
"359",-2.31,-0.949,"5_L4","L4"
"360",-2.264,-0.989,"5_L4","L4"
"361",-2.217,-1.029,"5_L4","L4"
"362",-2.169,-1.068,"5_L4","L4"
"363",-2.12,-1.106,"5_L4","L4"
"364",-2.071,-1.142,"5_L4","L4"
"365",-2.022,-1.178,"5_L4","L4"
"366",-1.973,-1.212,"5_L4","L4"
"367",-1.924,-1.244,"5_L4","L4"
"368",-1.876,-1.274,"5_L4","L4"
"369",-1.829,-1.302,"5_L4","L4"
"370",-1.783,-1.328,"5_L4","L4"
"371",-1.739,-1.351,"5_L4","L4"
"372",-1.696,-1.371,"5_L4","L4"
"373",-1.656,-1.389,"5_L4","L4"
