"","x","y","ID","SA"
"1",24063.012,6909.406,"3_CTXsp","CTXsp"
"2",23513.202,6823.96,"3_CTXsp","CTXsp"
"3",22562.013,6612.891,"3_CTXsp","CTXsp"
"4",21938.975,6417.694,"3_CTXsp","CTXsp"
"5",21117.044,6080.881,"3_CTXsp","CTXsp"
"6",20482.518,5846.632,"3_CTXsp","CTXsp"
"7",20287.905,5754.989,"3_CTXsp","CTXsp"
"8",20181.687,5626.147,"3_CTXsp","CTXsp"
"9",20426.147,5505.397,"3_CTXsp","CTXsp"
"10",20489.004,5402.255,"3_CTXsp","CTXsp"
"11",20440.775,5305.018,"3_CTXsp","CTXsp"
"12",20489.004,5187.017,"3_CTXsp","CTXsp"
"13",21034.532,5343.073,"3_CTXsp","CTXsp"
"14",21323.914,5374.122,"3_CTXsp","CTXsp"
"15",21678.247,5357.496,"3_CTXsp","CTXsp"
"16",21976.065,5310.589,"3_CTXsp","CTXsp"
"17",22454.716,5250.994,"3_CTXsp","CTXsp"
"18",22840.176,5329.418,"3_CTXsp","CTXsp"
"19",23186.334,5411.202,"3_CTXsp","CTXsp"
"20",23508.097,5400.71,"3_CTXsp","CTXsp"
"21",23843.21,5306.476,"3_CTXsp","CTXsp"
"22",24059.983,5220.262,"3_CTXsp","CTXsp"
"23",24063.012,6909.406,"3_CTXsp","CTXsp"
"24",24063.012,6909.406,"3_CTXsp","CTXsp"
"25",7112.589,4535.074,"4_LM","LM"
"26",6937.734,4535.074,"4_LM","LM"
"27",6937.734,4535.074,"4_LM","LM"
"28",6753.072,4783.267,"4_LM","LM"
"29",6566.133,5037.086,"4_LM","LM"
"30",6377.418,5295.864,"4_LM","LM"
"31",6187.427,5558.936,"4_LM","LM"
"32",5996.661,5825.635,"4_LM","LM"
"33",5805.621,6095.295,"4_LM","LM"
"34",5614.808,6367.25,"4_LM","LM"
"35",5424.722,6640.834,"4_LM","LM"
"36",5235.865,6915.381,"4_LM","LM"
"37",5048.735,7190.224,"4_LM","LM"
"38",4863.836,7464.698,"4_LM","LM"
"39",4681.666,7738.136,"4_LM","LM"
"40",4502.728,8009.872,"4_LM","LM"
"41",4327.52,8279.24,"4_LM","LM"
"42",4156.545,8545.575,"4_LM","LM"
"43",3990.304,8808.209,"4_LM","LM"
"44",3829.295,9066.476,"4_LM","LM"
"45",3674.021,9319.711,"4_LM","LM"
"46",3524.983,9567.247,"4_LM","LM"
"47",3382.68,9808.419,"4_LM","LM"
"48",3247.613,10042.56,"4_LM","LM"
"49",3120.284,10269.003,"4_LM","LM"
"50",3001.193,10487.083,"4_LM","LM"
"51",2890.84,10696.134,"4_LM","LM"
"52",2789.727,10895.49,"4_LM","LM"
"53",2698.354,11084.483,"4_LM","LM"
"54",2617.221,11262.449,"4_LM","LM"
"55",2546.831,11428.721,"4_LM","LM"
"56",2487.682,11582.633,"4_LM","LM"
"57",2487.682,11582.633,"4_LM","LM"
"58",2347.817,11979.463,"4_LM","LM"
"59",2215.535,12374.968,"4_LM","LM"
"60",2090.569,12768.784,"4_LM","LM"
"61",1972.646,13160.548,"4_LM","LM"
"62",1861.499,13549.897,"4_LM","LM"
"63",1756.856,13936.469,"4_LM","LM"
"64",1658.449,14319.9,"4_LM","LM"
"65",1566.007,14699.828,"4_LM","LM"
"66",1479.261,15075.89,"4_LM","LM"
"67",1397.941,15447.723,"4_LM","LM"
"68",1321.777,15814.963,"4_LM","LM"
"69",1250.5,16177.248,"4_LM","LM"
"70",1183.839,16534.215,"4_LM","LM"
"71",1121.526,16885.501,"4_LM","LM"
"72",1063.289,17230.743,"4_LM","LM"
"73",1008.859,17569.578,"4_LM","LM"
"74",957.968,17901.643,"4_LM","LM"
"75",910.344,18226.575,"4_LM","LM"
"76",865.718,18544.012,"4_LM","LM"
"77",823.821,18853.59,"4_LM","LM"
"78",784.382,19154.947,"4_LM","LM"
"79",747.132,19447.719,"4_LM","LM"
"80",711.8,19731.543,"4_LM","LM"
"81",678.118,20006.057,"4_LM","LM"
"82",645.816,20270.898,"4_LM","LM"
