"","SA","x","y"
"1","LM",5478.638,-6943.912
"2","LM",5478.638,-6943.912
"3","LM",5479.426,-6944.387
"4","LM",5481.779,-6945.761
"5","LM",5485.683,-6947.955
"6","LM",5491.121,-6950.893
"7","LM",5498.08,-6954.495
"8","LM",5506.544,-6958.685
"9","LM",5516.498,-6963.384
"10","LM",5527.927,-6968.514
"11","LM",5540.815,-6973.998
"12","LM",5555.149,-6979.758
"13","LM",5570.912,-6985.716
"14","LM",5588.089,-6991.794
"15","LM",5606.666,-6997.914
"16","LM",5626.628,-7003.998
"17","LM",5647.959,-7009.969
"18","LM",5670.644,-7015.749
"19","LM",5694.668,-7021.259
"20","LM",5720.017,-7026.422
"21","LM",5746.674,-7031.161
"22","LM",5774.625,-7035.396
"23","LM",5803.856,-7039.051
"24","LM",5834.35,-7042.047
"25","LM",5866.092,-7044.307
"26","LM",5899.068,-7045.753
"27","LM",5933.263,-7046.307
"28","LM",5968.662,-7045.891
"29","LM",6005.248,-7044.427
"30","LM",6043.008,-7041.838
"31","LM",6081.926,-7038.045
"32","LM",6081.926,-7038.045
"33","LM",6125.952,-7032.771
"34","LM",6172.113,-7026.593
"35","LM",6220.167,-7019.583
"36","LM",6269.875,-7011.808
"37","LM",6320.996,-7003.34
"38","LM",6373.291,-6994.247
"39","LM",6426.519,-6984.599
"40","LM",6480.439,-6974.467
"41","LM",6534.813,-6963.919
"42","LM",6589.398,-6953.025
"43","LM",6643.956,-6941.856
"44","LM",6698.245,-6930.48
"45","LM",6752.026,-6918.967
"46","LM",6805.059,-6907.387
"47","LM",6857.102,-6895.81
"48","LM",6907.917,-6884.306
"49","LM",6957.263,-6872.943
"50","LM",7004.899,-6861.792
"51","LM",7050.585,-6850.922
"52","LM",7094.081,-6840.403
"53","LM",7135.147,-6830.305
"54","LM",7173.543,-6820.697
"55","LM",7209.028,-6811.649
"56","LM",7241.362,-6803.231
"57","LM",7270.306,-6795.512
"58","LM",7295.617,-6788.562
"59","LM",7317.058,-6782.451
"60","LM",7334.386,-6777.248
"61","LM",7347.363,-6773.023
"62","LM",7347.363,-6773.023
"63","LM",7407.617,-6751.619
"64","LM",7465.967,-6729.846
"65","LM",7522.411,-6707.77
"66","LM",7576.948,-6685.458
"67","LM",7629.576,-6662.978
"68","LM",7680.294,-6640.394
"69","LM",7729.101,-6617.775
"70","LM",7775.994,-6595.187
"71","LM",7820.974,-6572.697
"72","LM",7864.038,-6550.371
"73","LM",7905.186,-6528.276
"74","LM",7944.414,-6506.478
"75","LM",7981.723,-6485.045
"76","LM",8017.111,-6464.044
"77","LM",8050.577,-6443.54
"78","LM",8082.118,-6423.601
"79","LM",8111.735,-6404.293
"80","LM",8139.424,-6385.683
"81","LM",8165.186,-6367.838
"82","LM",8189.018,-6350.825
"83","LM",8210.919,-6334.709
"84","LM",8230.888,-6319.559
"85","LM",8248.924,-6305.44
"86","LM",8265.024,-6292.419
"87","LM",8279.188,-6280.564
"88","LM",8291.414,-6269.939
"89","LM",8301.701,-6260.614
"90","LM",8310.048,-6252.653
"91","LM",8316.452,-6246.125
"92","LM",8316.452,-6246.125
"93","LM",8315.699,-6241.929
"94","LM",8314.979,-6237.936
"95","LM",8314.291,-6234.142
"96","LM",8313.634,-6230.542
"97","LM",8313.008,-6227.132
"98","LM",8312.414,-6223.909
"99","LM",8311.849,-6220.867
"100","LM",8311.314,-6218.005
"101","LM",8310.809,-6215.316
"102","LM",8310.333,-6212.798
"103","LM",8309.885,-6210.446
"104","LM",8309.465,-6208.257
"105","LM",8309.073,-6206.225
"106","LM",8308.708,-6204.348
"107","LM",8308.37,-6202.621
"108","LM",8308.058,-6201.04
"109","LM",8307.772,-6199.602
"110","LM",8307.512,-6198.301
"111","LM",8307.276,-6197.135
"112","LM",8307.065,-6196.099
"113","LM",8306.878,-6195.189
"114","LM",8306.715,-6194.401
"115","LM",8306.574,-6193.731
"116","LM",8306.457,-6193.175
"117","LM",8306.362,-6192.73
"118","LM",8306.289,-6192.39
"119","LM",8306.237,-6192.152
"120","LM",8306.207,-6192.013
"121","LM",8306.196,-6191.967
"122","LM",8306.196,-6191.967
"123","LM",8304.764,-6190.946
"124","LM",8298.477,-6193.73
"125","LM",8287.506,-6200.075
"126","LM",8272.02,-6209.735
"127","LM",8252.191,-6222.468
"128","LM",8228.188,-6238.028
"129","LM",8200.181,-6256.172
"130","LM",8168.34,-6276.656
"131","LM",8132.836,-6299.235
"132","LM",8093.838,-6323.665
"133","LM",8051.517,-6349.702
"134","LM",8006.043,-6377.102
"135","LM",7957.586,-6405.621
"136","LM",7906.316,-6435.014
"137","LM",7852.403,-6465.037
"138","LM",7796.018,-6495.447
"139","LM",7737.33,-6525.998
"140","LM",7676.509,-6556.447
"141","LM",7613.727,-6586.55
"142","LM",7549.152,-6616.063
"143","LM",7482.955,-6644.741
"144","LM",7415.307,-6672.339
"145","LM",7346.377,-6698.615
"146","LM",7276.335,-6723.324
"147","LM",7205.351,-6746.221
"148","LM",7133.597,-6767.063
"149","LM",7061.241,-6785.605
"150","LM",6988.454,-6801.603
"151","LM",6915.405,-6814.813
"152","LM",6915.405,-6814.813
"153","LM",6873.36,-6821.709
"154","LM",6831.92,-6828.783
"155","LM",6791.05,-6836.008
"156","LM",6750.711,-6843.357
"157","LM",6710.866,-6850.803
"158","LM",6671.477,-6858.319
"159","LM",6632.507,-6865.878
"160","LM",6593.918,-6873.453
"161","LM",6555.672,-6881.018
"162","LM",6517.733,-6888.545
"163","LM",6480.063,-6896.007
"164","LM",6442.623,-6903.378
"165","LM",6405.377,-6910.63
"166","LM",6368.287,-6917.736
"167","LM",6331.315,-6924.671
"168","LM",6294.425,-6931.405
"169","LM",6257.577,-6937.914
"170","LM",6220.736,-6944.169
"171","LM",6183.863,-6950.144
"172","LM",6146.92,-6955.812
"173","LM",6109.871,-6961.146
"174","LM",6072.677,-6966.119
"175","LM",6035.302,-6970.704
"176","LM",5997.707,-6974.874
"177","LM",5959.855,-6978.602
"178","LM",5921.709,-6981.862
"179","LM",5883.23,-6984.625
"180","LM",5844.382,-6986.866
"181","LM",5805.127,-6988.557
"182","LM",5805.127,-6988.557
"183","LM",5798.95,-6988.595
"184","LM",5792.33,-6988.287
"185","LM",5785.272,-6987.635
"186","LM",5777.78,-6986.643
"187","LM",5769.858,-6985.314
"188","LM",5761.51,-6983.65
"189","LM",5752.742,-6981.656
"190","LM",5743.556,-6979.333
"191","LM",5733.958,-6976.686
"192","LM",5723.951,-6973.716
"193","LM",5713.54,-6970.428
"194","LM",5702.73,-6966.825
"195","LM",5691.524,-6962.909
"196","LM",5679.927,-6958.683
"197","LM",5667.943,-6954.151
"198","LM",5655.576,-6949.316
"199","LM",5642.831,-6944.18
"200","LM",5629.712,-6938.748
"201","LM",5616.223,-6933.021
"202","LM",5602.369,-6927.003
"203","LM",5588.153,-6920.698
"204","LM",5573.581,-6914.107
"205","LM",5558.656,-6907.235
"206","LM",5543.383,-6900.084
"207","LM",5527.765,-6892.658
"208","LM",5511.808,-6884.959
"209","LM",5495.516,-6876.991
"210","LM",5478.892,-6868.757
"211","LM",5461.941,-6860.259
"212","LM",5461.941,-6860.259
"213","LM",5462.446,-6863.046
"214","LM",5462.999,-6866.039
"215","LM",5463.596,-6869.215
"216","LM",5464.231,-6872.552
"217","LM",5464.9,-6876.029
"218","LM",5465.598,-6879.623
"219","LM",5466.321,-6883.312
"220","LM",5467.063,-6887.074
"221","LM",5467.819,-6890.888
"222","LM",5468.585,-6894.73
"223","LM",5469.357,-6898.58
"224","LM",5470.128,-6902.414
"225","LM",5470.895,-6906.211
"226","LM",5471.653,-6909.949
"227","LM",5472.397,-6913.606
"228","LM",5473.122,-6917.159
"229","LM",5473.823,-6920.587
"230","LM",5474.495,-6923.868
"231","LM",5475.134,-6926.979
"232","LM",5475.735,-6929.898
"233","LM",5476.293,-6932.604
"234","LM",5476.804,-6935.074
"235","LM",5477.262,-6937.286
"236","LM",5477.662,-6939.219
"237","LM",5478.001,-6940.849
"238","LM",5478.273,-6942.156
"239","LM",5478.473,-6943.117
"240","LM",5478.596,-6943.709
"241","LM",5478.638,-6943.912
"242","LM",5478.638,-6943.912
"243","L1",5446.485,-6792.135
"244","L1",5446.485,-6792.135
"245","L1",5447.984,-6792.923
"246","L1",5452.399,-6795.183
"247","L1",5459.607,-6798.765
"248","L1",5469.484,-6803.515
"249","L1",5481.909,-6809.282
"250","L1",5496.757,-6815.914
"251","L1",5513.905,-6823.259
"252","L1",5533.23,-6831.164
"253","L1",5554.61,-6839.478
"254","L1",5577.92,-6848.048
"255","L1",5603.038,-6856.722
"256","L1",5629.841,-6865.348
"257","L1",5658.206,-6873.775
"258","L1",5688.009,-6881.849
"259","L1",5719.128,-6889.419
"260","L1",5751.438,-6896.333
"261","L1",5784.818,-6902.438
"262","L1",5819.144,-6907.583
"263","L1",5854.292,-6911.615
"264","L1",5890.14,-6914.382
"265","L1",5926.565,-6915.733
"266","L1",5963.443,-6915.514
"267","L1",6000.652,-6913.575
"268","L1",6038.067,-6909.762
"269","L1",6075.567,-6903.925
"270","L1",6113.027,-6895.909
"271","L1",6150.326,-6885.565
"272","L1",6187.339,-6872.739
"273","L1",6223.943,-6857.279
"274","L1",6223.943,-6857.279
"275","L1",6243.479,-6848.877
"276","L1",6263.63,-6841.425
"277","L1",6284.443,-6834.833
"278","L1",6305.969,-6829.011
"279","L1",6328.254,-6823.87
"280","L1",6351.349,-6819.319
"281","L1",6375.301,-6815.268
"282","L1",6400.159,-6811.629
"283","L1",6425.972,-6808.31
"284","L1",6452.789,-6805.223
"285","L1",6480.657,-6802.277
"286","L1",6509.626,-6799.383
"287","L1",6539.744,-6796.45
"288","L1",6571.06,-6793.389
"289","L1",6603.623,-6790.11
"290","L1",6637.48,-6786.523
"291","L1",6672.681,-6782.539
"292","L1",6709.275,-6778.067
"293","L1",6747.309,-6773.017
"294","L1",6786.833,-6767.301
"295","L1",6827.895,-6760.828
"296","L1",6870.543,-6753.507
"297","L1",6914.827,-6745.25
"298","L1",6960.795,-6735.967
"299","L1",7008.495,-6725.567
"300","L1",7057.977,-6713.962
"301","L1",7109.288,-6701.06
"302","L1",7162.478,-6686.772
"303","L1",7217.594,-6671.009
"304","L1",7217.594,-6671.009
"305","L1",7278.977,-6652.105
"306","L1",7339.002,-6632.043
"307","L1",7397.624,-6610.939
"308","L1",7454.8,-6588.912
"309","L1",7510.485,-6566.078
"310","L1",7564.636,-6542.557
"311","L1",7617.209,-6518.465
"312","L1",7668.159,-6493.921
"313","L1",7717.443,-6469.042
"314","L1",7765.016,-6443.946
"315","L1",7810.836,-6418.751
"316","L1",7854.857,-6393.575
"317","L1",7897.036,-6368.535
"318","L1",7937.328,-6343.749
"319","L1",7975.691,-6319.335
"320","L1",8012.079,-6295.411
"321","L1",8046.449,-6272.094
"322","L1",8078.757,-6249.503
"323","L1",8108.958,-6227.754
"324","L1",8137.01,-6206.967
"325","L1",8162.867,-6187.258
"326","L1",8186.487,-6168.745
"327","L1",8207.824,-6151.547
"328","L1",8226.835,-6135.78
"329","L1",8243.476,-6121.563
"330","L1",8257.703,-6109.014
"331","L1",8269.472,-6098.25
"332","L1",8278.739,-6089.389
"333","L1",8285.46,-6082.549
"334","L1",8285.46,-6082.549
"335","L1",8284.816,-6078.927
"336","L1",8284.412,-6076.602
"337","L1",8284.231,-6075.488
"338","L1",8284.258,-6075.5
"339","L1",8284.478,-6076.554
"340","L1",8284.874,-6078.563
"341","L1",8285.431,-6081.444
"342","L1",8286.133,-6085.11
"343","L1",8286.964,-6089.478
"344","L1",8287.908,-6094.461
"345","L1",8288.95,-6099.976
"346","L1",8290.074,-6105.936
"347","L1",8291.264,-6112.257
"348","L1",8292.504,-6118.854
"349","L1",8293.778,-6125.641
"350","L1",8295.071,-6132.535
"351","L1",8296.367,-6139.448
"352","L1",8297.649,-6146.298
"353","L1",8298.904,-6152.998
"354","L1",8300.113,-6159.463
"355","L1",8301.263,-6165.609
"356","L1",8302.336,-6171.351
"357","L1",8303.317,-6176.603
"358","L1",8304.191,-6181.28
"359","L1",8304.941,-6185.297
"360","L1",8305.552,-6188.57
"361","L1",8306.008,-6191.013
"362","L1",8306.293,-6192.541
"363","L1",8306.392,-6193.069
"364","L1",8306.392,-6193.069
"365","L1",8305.046,-6192.019
"366","L1",8299.011,-6194.715
"367","L1",8288.445,-6200.919
"368","L1",8273.506,-6210.39
"369","L1",8254.352,-6222.888
"370","L1",8231.14,-6238.174
"371","L1",8204.028,-6256.007
"372","L1",8173.175,-6276.148
"373","L1",8138.737,-6298.357
"374","L1",8100.874,-6322.393
"375","L1",8059.743,-6348.018
"376","L1",8015.501,-6374.99
"377","L1",7968.307,-6403.07
"378","L1",7918.318,-6432.018
"379","L1",7865.693,-6461.595
"380","L1",7810.589,-6491.56
"381","L1",7753.164,-6521.673
"382","L1",7693.576,-6551.695
"383","L1",7631.983,-6581.385
"384","L1",7568.543,-6610.504
"385","L1",7503.413,-6638.811
"386","L1",7436.752,-6666.067
"387","L1",7368.717,-6692.032
"388","L1",7299.467,-6716.466
"389","L1",7229.158,-6739.129
"390","L1",7157.95,-6759.781
"391","L1",7085.999,-6778.183
"392","L1",7013.464,-6794.093
"393","L1",6940.503,-6807.273
"394","L1",6940.503,-6807.273
"395","L1",6898.448,-6814.245
"396","L1",6856.984,-6821.535
"397","L1",6816.073,-6829.103
"398","L1",6775.679,-6836.909
"399","L1",6735.766,-6844.91
"400","L1",6696.297,-6853.066
"401","L1",6657.237,-6861.337
"402","L1",6618.548,-6869.68
"403","L1",6580.194,-6878.054
"404","L1",6542.14,-6886.42
"405","L1",6504.348,-6894.736
"406","L1",6466.782,-6902.96
"407","L1",6429.406,-6911.052
"408","L1",6392.183,-6918.971
"409","L1",6355.077,-6926.675
"410","L1",6318.053,-6934.124
"411","L1",6281.072,-6941.277
"412","L1",6244.1,-6948.093
"413","L1",6207.099,-6954.53
"414","L1",6170.033,-6960.548
"415","L1",6132.866,-6966.105
"416","L1",6095.561,-6971.161
"417","L1",6058.083,-6975.675
"418","L1",6020.394,-6979.605
"419","L1",5982.459,-6982.91
"420","L1",5944.241,-6985.55
"421","L1",5905.703,-6987.484
"422","L1",5866.81,-6988.67
"423","L1",5827.524,-6989.067
"424","L1",5827.524,-6989.067
"425","L1",5814.683,-6988.902
"426","L1",5802.175,-6988.415
"427","L1",5789.964,-6987.609
"428","L1",5778.015,-6986.484
"429","L1",5766.294,-6985.043
"430","L1",5754.765,-6983.288
"431","L1",5743.393,-6981.22
"432","L1",5732.142,-6978.841
"433","L1",5720.979,-6976.154
"434","L1",5709.868,-6973.159
"435","L1",5698.773,-6969.858
"436","L1",5687.66,-6966.254
"437","L1",5676.493,-6962.348
"438","L1",5665.238,-6958.142
"439","L1",5653.859,-6953.637
"440","L1",5642.322,-6948.837
"441","L1",5630.591,-6943.741
"442","L1",5618.631,-6938.352
"443","L1",5606.406,-6932.673
"444","L1",5593.883,-6926.704
"445","L1",5581.026,-6920.447
"446","L1",5567.799,-6913.905
"447","L1",5554.169,-6907.079
"448","L1",5540.098,-6899.97
"449","L1",5525.554,-6892.582
"450","L1",5510.499,-6884.915
"451","L1",5494.9,-6876.97
"452","L1",5478.722,-6868.751
"453","L1",5461.928,-6860.259
"454","L1",5461.928,-6860.259
"455","L1",5462.321,-6862.517
"456","L1",5462.549,-6863.973
"457","L1",5462.622,-6864.678
"458","L1",5462.552,-6864.686
"459","L1",5462.35,-6864.049
"460","L1",5462.027,-6862.82
"461","L1",5461.594,-6861.052
"462","L1",5461.061,-6858.797
"463","L1",5460.441,-6856.107
"464","L1",5459.743,-6853.035
"465","L1",5458.979,-6849.635
"466","L1",5458.16,-6845.958
"467","L1",5457.297,-6842.057
"468","L1",5456.401,-6837.985
"469","L1",5455.483,-6833.794
"470","L1",5454.553,-6829.538
"471","L1",5453.624,-6825.268
"472","L1",5452.706,-6821.037
"473","L1",5451.81,-6816.898
"474","L1",5450.947,-6812.903
"475","L1",5450.128,-6809.106
"476","L1",5449.364,-6805.558
"477","L1",5448.666,-6802.313
"478","L1",5448.046,-6799.422
"479","L1",5447.513,-6796.939
"480","L1",5447.08,-6794.916
"481","L1",5446.756,-6793.407
"482","L1",5446.554,-6792.462
"483","L1",5446.485,-6792.135
"484","L1",5446.485,-6792.135
"485","L2/3",5446.485,-6792.135
"486","L2/3",5446.485,-6792.135
"487","L2/3",5447.984,-6792.923
"488","L2/3",5452.399,-6795.183
"489","L2/3",5459.607,-6798.765
"490","L2/3",5469.484,-6803.515
"491","L2/3",5481.909,-6809.282
"492","L2/3",5496.757,-6815.914
"493","L2/3",5513.905,-6823.259
"494","L2/3",5533.23,-6831.164
"495","L2/3",5554.61,-6839.478
"496","L2/3",5577.92,-6848.048
"497","L2/3",5603.038,-6856.722
"498","L2/3",5629.841,-6865.348
"499","L2/3",5658.206,-6873.775
"500","L2/3",5688.009,-6881.849
"501","L2/3",5719.128,-6889.419
"502","L2/3",5751.438,-6896.333
"503","L2/3",5784.818,-6902.438
"504","L2/3",5819.144,-6907.583
"505","L2/3",5854.292,-6911.615
"506","L2/3",5890.14,-6914.382
"507","L2/3",5926.565,-6915.733
"508","L2/3",5963.443,-6915.514
"509","L2/3",6000.652,-6913.575
"510","L2/3",6038.067,-6909.762
"511","L2/3",6075.567,-6903.925
"512","L2/3",6113.027,-6895.909
"513","L2/3",6150.326,-6885.565
"514","L2/3",6187.339,-6872.739
"515","L2/3",6223.943,-6857.279
"516","L2/3",6223.943,-6857.279
"517","L2/3",6243.479,-6848.877
