,ratio,method,gene,color
0,,anno_MERFISH,oprk1,#9EE493
1,,anno_MERFISH,satb2,#9EE493
2,,anno_MERFISH,igfbp5,#9EE493
3,,anno_MERFISH,ramp1,#9EE493
4,,anno_MERFISH,cntnap5b,#9EE493
5,,anno_MERFISH,cdh20,#9EE493
6,,anno_MERFISH,rnf152,#9EE493
7,,anno_MERFISH,tmem163,#9EE493
8,,anno_MERFISH,rgs5,#9EE493
9,,anno_MERFISH,prox1,#9EE493
10,,anno_MERFISH,mrc1,#9EE493
11,,anno_MERFISH,gad2,#9EE493
12,,anno_MERFISH,lhx6,#9EE493
13,,anno_MERFISH,nr4a2,#9EE493
14,,anno_MERFISH,cobll1,#9EE493
15,,anno_MERFISH,gad1,#9EE493
16,,anno_MERFISH,pde11a,#9EE493
17,,anno_MERFISH,bdnf,#9EE493
18,,anno_MERFISH,meis2,#9EE493
19,,anno_MERFISH,prokr2,#9EE493
20,,anno_MERFISH,lamp5,#9EE493
21,,anno_MERFISH,syndig1,#9EE493
22,,anno_MERFISH,slc32a1,#9EE493
23,,anno_MERFISH,sulf2,#9EE493
24,,anno_MERFISH,tshz2,#9EE493
25,,anno_MERFISH,cbln4,#9EE493
26,,anno_MERFISH,trpc4,#9EE493
27,,anno_MERFISH,plch1,#9EE493
28,,anno_MERFISH,rxfp1,#9EE493
29,,anno_MERFISH,npy2r,#9EE493
30,,anno_MERFISH,ctss,#9EE493
31,,anno_MERFISH,syt6,#9EE493
32,,anno_MERFISH,ndst4,#9EE493
33,,anno_MERFISH,camk2d,#9EE493
34,,anno_MERFISH,npnt,#9EE493
35,,anno_MERFISH,col24a1,#9EE493
36,,anno_MERFISH,slc44a5,#9EE493
37,,anno_MERFISH,ptger3,#9EE493
38,,anno_MERFISH,penk,#9EE493
39,,anno_MERFISH,tox,#9EE493
40,,anno_MERFISH,calb1,#9EE493
41,,anno_MERFISH,epha7,#9EE493
42,,anno_MERFISH,cnr1,#9EE493
43,,anno_MERFISH,ror1,#9EE493
44,,anno_MERFISH,rab3b,#9EE493
45,,anno_MERFISH,pou3f1,#9EE493
46,,anno_MERFISH,rspo1,#9EE493
47,,anno_MERFISH,sema3e,#9EE493
48,,anno_MERFISH,reln,#9EE493
