,ratio,method,gene,color
0,,anno_MERFISH,oprk1,#9EE493
1,0.6902173757553101,anno_MERFISH,satb2,#9EE493
2,0.8666666150093079,anno_MERFISH,igfbp5,#9EE493
3,0.6666666865348816,anno_MERFISH,ramp1,#9EE493
4,0.6666666865348816,anno_MERFISH,cntnap5b,#9EE493
5,0.6666666865348816,anno_MERFISH,cdh20,#9EE493
6,,anno_MERFISH,rnf152,#9EE493
7,0.625,anno_MERFISH,tmem163,#9EE493
8,0.9251701235771179,anno_MERFISH,rgs5,#9EE493
9,0.6666666865348816,anno_MERFISH,prox1,#9EE493
10,0.800000011920929,anno_MERFISH,mrc1,#9EE493
11,0.7839034199714661,anno_MERFISH,gad2,#9EE493
12,1.0322580337524414,anno_MERFISH,lhx6,#9EE493
13,0.9354838728904724,anno_MERFISH,nr4a2,#9EE493
14,1.0,anno_MERFISH,cobll1,#9EE493
15,1.5150986909866333,anno_MERFISH,gad1,#9EE493
16,0.4000000059604645,anno_MERFISH,pde11a,#9EE493
17,0.800000011920929,anno_MERFISH,bdnf,#9EE493
18,0.5903226137161255,anno_MERFISH,meis2,#9EE493
19,,anno_MERFISH,prokr2,#9EE493
20,3.330378770828247,anno_MERFISH,lamp5,#9EE493
21,1.0,anno_MERFISH,syndig1,#9EE493
22,0.800000011920929,anno_MERFISH,slc32a1,#9EE493
23,1.1280193328857422,anno_MERFISH,sulf2,#9EE493
24,0.25555554032325745,anno_MERFISH,tshz2,#9EE493
25,1.0,anno_MERFISH,cbln4,#9EE493
26,1.2674418687820435,anno_MERFISH,trpc4,#9EE493
27,,anno_MERFISH,plch1,#9EE493
28,1.2666666507720947,anno_MERFISH,rxfp1,#9EE493
29,0.6666666865348816,anno_MERFISH,npy2r,#9EE493
30,0.8333333134651184,anno_MERFISH,ctss,#9EE493
31,0.8703703880310059,anno_MERFISH,syt6,#9EE493
32,0.6969696879386902,anno_MERFISH,ndst4,#9EE493
33,0.5249999761581421,anno_MERFISH,camk2d,#9EE493
34,1.0909091234207153,anno_MERFISH,npnt,#9EE493
35,1.34375,anno_MERFISH,col24a1,#9EE493
36,0.7121212482452393,anno_MERFISH,slc44a5,#9EE493
37,,anno_MERFISH,ptger3,#9EE493
38,1.8572417497634888,anno_MERFISH,penk,#9EE493
39,0.5227272510528564,anno_MERFISH,tox,#9EE493
40,2.291806936264038,anno_MERFISH,calb1,#9EE493
41,1.0492063760757446,anno_MERFISH,epha7,#9EE493
42,3.3754827976226807,anno_MERFISH,cnr1,#9EE493
43,,anno_MERFISH,ror1,#9EE493
44,2.799145460128784,anno_MERFISH,rab3b,#9EE493
45,1.1666666269302368,anno_MERFISH,pou3f1,#9EE493
46,1.0952380895614624,anno_MERFISH,rspo1,#9EE493
47,0.6666666865348816,anno_MERFISH,sema3e,#9EE493
48,0.2857142984867096,anno_MERFISH,reln,#9EE493
49,1.6315789222717285,anno_MERFISH,otof,#9EE493
50,1.125,anno_MERFISH,pdgfra,#9EE493
51,1.1333333253860474,anno_MERFISH,parm1,#9EE493
52,1.0,anno_MERFISH,prdm8,#9EE493
53,1.0,anno_MERFISH,nos1,#9EE493
54,0.8787879347801208,anno_MERFISH,cux2,#9EE493
55,0.2460317313671112,anno_MERFISH,flt1,#9EE493
56,,anno_MERFISH,rxfp2,#9EE493
57,1.0,anno_MERFISH,thsd7a,#9EE493
58,0.4444444477558136,anno_MERFISH,foxp2,#9EE493
59,0.4866666793823242,anno_MERFISH,grm8,#9EE493
60,0.6666666865348816,anno_MERFISH,chrm2,#9EE493
61,1.1486486196517944,anno_MERFISH,crhr2,#9EE493
62,1.0,anno_MERFISH,kcnj8,#9EE493
63,4.871885776519775,anno_MERFISH,slc17a7,#9EE493
64,1.2678571939468384,anno_MERFISH,slc17a6,#9EE493
65,0.6666666865348816,anno_MERFISH,nr2f2,#9EE493
66,0.4571428894996643,anno_MERFISH,sox6,#9EE493
67,0.5,anno_MERFISH,igf2,#9EE493
68,1.0,anno_MERFISH,th,#9EE493
69,0.6666666865348816,anno_MERFISH,inpp4b,#9EE493
70,0.75,anno_MERFISH,calb2,#9EE493
71,0.5130435228347778,anno_MERFISH,cdh13,#9EE493
72,0.5,anno_MERFISH,npsr1,#9EE493
73,0.9466666579246521,anno_MERFISH,dscaml1,#9EE493
74,1.4285714626312256,anno_MERFISH,cspg4,#9EE493
75,,anno_MERFISH,cplx3,#9EE493
76,0.5625,anno_MERFISH,unc13c,#9EE493
77,0.24933862686157227,anno_MERFISH,vip,#9EE493
78,0.8712120652198792,anno_MERFISH,grm1,#9EE493
