,ratio,method,gene,color
0,0.8467742,starmap,satb2,red
1,0.9457364,starmap,prox1,red
2,0.31136364,starmap,gad2,red
3,0.7754386,starmap,lhx6,red
4,0.7085046,starmap,gad1,red
5,0.7931125,starmap,lamp5,red
6,1.6245211,starmap,slc32a1,red
7,0.4181818,starmap,crh,red
8,0.8693878,starmap,syt6,red
9,1.1161616,starmap,penk,red
10,0.9110536,starmap,calb1,red
11,1.2579303,starmap,cnr1,red
12,1.0566589,starmap,pdgfra,red
13,1.2086514,starmap,cux2,red
14,0.24273504,starmap,flt1,red
15,0.47601476,starmap,foxp2,red
16,1.1819435,starmap,slc17a7,red
17,1.3076923,starmap,th,red
18,0.515112,starmap,vip,red
19,0.4554133,starmap,gfap,red
20,1.1781915,starmap,fezf2,red
21,1.2307693,starmap,chat,red
22,0.45181978,starmap,pvalb,red
23,1.0114598,starmap,sst,red
24,0.4875912,starmap,chodl,red
25,1.378815,starmap,aqp4,red
26,0.36109078,starmap,rorb,red
27,0.27244583,starmap,acta2,red
0,5.22745,allen_smfish,satb2,purple
1,1.6369697,allen_smfish,prox1,purple
2,1.9997839,allen_smfish,gad2,purple
3,3.4553115,allen_smfish,lhx6,purple
4,6.5351453,allen_smfish,cux2,purple
5,1.6449844,allen_smfish,foxp2,purple
6,8.91964,allen_smfish,fezf2,purple
7,1.9305612,allen_smfish,pvalb,purple
8,0.736071,allen_smfish,chodl,purple
9,2.539264,allen_smfish,rorb,purple
0,1.190867,allen_merFISH,satb2,orangered
1,0.8088235,allen_merFISH,prox1,orangered
2,3.9724567,allen_merFISH,gad2,orangered
3,1.5128206,allen_merFISH,lhx6,orangered
4,10.209359,allen_merFISH,gad1,orangered
5,23.405718,allen_merFISH,lamp5,orangered
6,1.3925925,allen_merFISH,slc32a1,orangered
7,0.9536542,allen_merFISH,syt6,orangered
8,6.1874022,allen_merFISH,penk,orangered
9,11.797025,allen_merFISH,calb1,orangered
10,20.521587,allen_merFISH,cnr1,orangered
11,1.0563064,allen_merFISH,pdgfra,orangered
12,0.8980892,allen_merFISH,cux2,orangered
13,0.25925925,allen_merFISH,flt1,orangered
14,0.43376067,allen_merFISH,foxp2,orangered
15,41.395584,allen_merFISH,slc17a7,orangered
16,1.2941177,allen_merFISH,th,orangered
17,0.9912881,allen_merFISH,vip,orangered
18,0.25735295,allen_merFISH,gfap,orangered
19,1.8157895,allen_merFISH,fezf2,orangered
20,1.0952381,allen_merFISH,chat,orangered
21,2.4272146,allen_merFISH,pvalb,orangered
22,1.7001321,allen_merFISH,sst,orangered
23,0.45333332,allen_merFISH,chodl,orangered
24,1.1,allen_merFISH,aqp4,orangered
25,0.3090909,allen_merFISH,rorb,orangered
26,0.44268218,allen_merFISH,acta2,orangered
0,0.40768212,Hybriss,gad2,limegreen
1,0.59584516,Hybriss,gad1,limegreen
2,1.1440753,Hybriss,lamp5,limegreen
3,0.9467919,Hybriss,slc32a1,limegreen
4,0.7418182,Hybriss,crh,limegreen
5,0.8946015,Hybriss,syt6,limegreen
6,1.1937984,Hybriss,penk,limegreen
7,1.0002583,Hybriss,cnr1,limegreen
8,0.56333333,Hybriss,pdgfra,limegreen
9,0.30220073,Hybriss,flt1,limegreen
10,0.65609956,Hybriss,slc17a7,limegreen
11,0.32142857,Hybriss,vip,limegreen
12,0.29166666,Hybriss,gfap,limegreen
13,0.4243561,Hybriss,pvalb,limegreen
14,0.20733729,Hybriss,sst,limegreen
15,0.36485603,Hybriss,rorb,limegreen
16,0.29946524,Hybriss,acta2,limegreen
0,1.6480802,osmfish,gad2,yellow
1,12.172748,osmfish,lamp5,yellow
2,5.271998,osmfish,slc32a1,yellow
3,1.0289018,osmfish,crh,yellow
4,3.9084508,osmfish,syt6,yellow
5,2.73312,osmfish,cnr1,yellow
6,1.397914,osmfish,pdgfra,yellow
7,0.87560666,osmfish,flt1,yellow
8,0.28878757,osmfish,vip,yellow
9,0.77720904,osmfish,gfap,yellow
10,2.2378092,osmfish,rorb,yellow
11,0.51058245,osmfish,acta2,yellow
0,2.4236996,exseq,satb2,brown
1,1.3258846,exseq,prox1,brown
2,1.2637274,exseq,gad2,brown
3,1.9152855,exseq,lhx6,brown
4,4.136082,exseq,slc32a1,brown
5,4.6094146,exseq,cux2,brown
6,0.7372742,exseq,foxp2,brown
7,3.0457063,exseq,fezf2,brown
8,1.3628389,exseq,pvalb,brown
9,0.55833334,exseq,chodl,brown
10,0.8426724,exseq,rorb,brown
0,6.3048167,vizgen,gad1,#E220F5
1,2.9333334,vizgen,slc32a1,#E220F5
2,3.0513732,vizgen,cnr1,#E220F5
3,1.7975,vizgen,pdgfra,#E220F5
4,0.9613459,vizgen,flt1,#E220F5
5,6.4320374,vizgen,slc17a7,#E220F5
6,5.4411764,vizgen,th,#E220F5
7,0.47348484,vizgen,gfap,#E220F5
8,3.25,vizgen,chat,#E220F5
9,1.5838324,vizgen,aqp4,#E220F5
0,0.22424242,baristaseq,gad2,orange
1,0.79583335,baristaseq,lhx6,orange
2,0.52724916,baristaseq,gad1,orange
3,1.0915254,baristaseq,lamp5,orange
4,1.2789116,baristaseq,slc32a1,orange
5,0.46666664,baristaseq,crh,orange
6,0.80860215,baristaseq,syt6,orange
7,0.8945578,baristaseq,penk,orange
8,0.79518074,baristaseq,calb1,orange
9,1.0157233,baristaseq,cnr1,orange
10,0.8227848,baristaseq,pdgfra,orange
11,0.44403687,baristaseq,slc17a7,orange
12,1.2,baristaseq,th,orange
13,0.3677606,baristaseq,vip,orange
14,1.3324608,baristaseq,fezf2,orange
15,0.31798673,baristaseq,pvalb,orange
16,0.34798798,baristaseq,sst,orange
17,0.40714288,baristaseq,chodl,orange
18,0.31299213,baristaseq,rorb,orange
0,1.0799892,r1_multisection_Xenium,satb2,steelblue
1,1.357902,r1_multisection_Xenium,prox1,steelblue
2,0.85286874,r1_multisection_Xenium,gad2,steelblue
3,1.3032546,r1_multisection_Xenium,gad1,steelblue
4,1.8723361,r1_multisection_Xenium,lamp5,steelblue
5,1.2641407,r1_multisection_Xenium,crh,steelblue
6,1.4560038,r1_multisection_Xenium,syt6,steelblue
7,1.8217078,r1_multisection_Xenium,penk,steelblue
8,2.085728,r1_multisection_Xenium,calb1,steelblue
9,1.9339706,r1_multisection_Xenium,pdgfra,steelblue
10,1.5211695,r1_multisection_Xenium,cux2,steelblue
